HH_ID,AGE_REF,FAM_SIZE,BLS_URBN,REGION,CUTENURE,VEHQ,FINLWT21,TOTEXPCQ,HOUSCQ,TRANSCQ,FOODCQ,HEALTHCQ,ENTERTCQ,MORTGAGE_QTR
0450972,64,2,1,3.0,2,2,17379.966,26338.0,12447.000100000001,3892.6666999999998,5023.3333,2641.3333000000002,1040.0,0.0
0450973,58,2,1,1.0,2,3,37748.24,19962.1668,5128.0001,2009.6667,2756.0,4980.6666,1273.0,0.0
0450974,87,1,1,1.0,2,1,18789.751,14082.999899999999,8144.999899999999,175.0,1863.3333,2688.6666999999998,621.0,0.0
0450978,77,1,1,4.0,1,1,16632.987,8404.0001,5945.6667,917.6667,476.6667,584.0,0.0,0.0
0450979,38,1,1,4.0,4,1,10025.551,86731.00020000001,22998.3333,18628.0,4483.3334,7993.6667,3174.0,0.0
0450980,67,2,1,2.0,2,3,30210.214,33099.1667,11143.1667,1740.0,1560.0,1194.0,1882.0,0.0
0450981,87,2,1,1.0,2,2,18587.069,36099.3334,21207.000099999997,2451.0,2600.0,5838.3333,939.0,0.0
0450982,46,4,1,3.0,1,0,27638.392,33469.3,13197.0,3966.0,8963.3333,1623.3333,1580.0,0.0
0450983,28,2,1,4.0,4,2,42946.52,22909.5001,2908.0,16946.0,1331.0,506.6667,85.0,0.0
0450984,87,1,1,3.0,2,0,23053.805,3891.9999,1338.6666,0.0,1473.3333,873.3333,140.0,0.0
0450986,30,6,1,3.0,4,2,41212.13,25412.9999,11881.0,3996.3333,4333.3334,1719.3333,1038.0,0.0
0450987,59,2,1,4.0,4,0,16811.075,15589.3331,10178.0,600.0,2860.0,34.0,480.0,0.0
0450988,32,4,1,4.0,1,5,13980.287,14315.3335,4444.6667,2842.0,2746.6667,60.0,1436.0,0.0
0450989,26,1,1,1.0,4,0,33172.075,3849.0,2390.0,12.0,915.0,0.0,145.0,0.0
0450990,82,1,1,1.0,2,1,23397.183,7462.3332,2406.6666,1699.6667,1392.6667,1068.3333,380.0,0.0
0450992,50,4,1,1.0,2,0,66811.381,2882.8999,605.0,0.0,1300.0,0.0,126.0,0.0
0450993,34,2,1,1.0,4,2,27548.034,6833.3667,3159.6667,305.0,606.6667,216.6667,85.0,0.0
0450995,63,2,1,3.0,2,1,16166.322,3638.5334,1411.0,300.0,1560.0,134.0,88.0,0.0
0450999,60,4,1,1.0,4,0,19796.222,21466.733399999997,13555.6667,0.0,6558.6666000000005,0.0,98.0,0.0
0451001,57,1,2,1.0,1,1,7030.008,7516.0002,4440.3334,1104.0,866.6667,6.0,759.0,0.0
0451003,78,2,1,4.0,2,2,14688.462,47589.9998,24003.6666,2599.0,5373.3333,6649.6666000000005,3607.0,0.0
