NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
04378364,2,0,0,2020,2019,0,.15300,.15300,1,.10000,.12000,10,D,.00000,.00000,22000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,982,0,982,960,0,0,3366,3366,22000,22000,0,0,0,0,0,0,0,0,0,0,22000,22000,0,0,982,960,982,960,0,0,0,0,0,0,0,0,0,0,0
04378374,1,0,48,2020,2019,1,.15300,.15300,2,.10000,.10000,21,D,.04040,.04750,30000,D,0,D,0,D,0,D,0,D,0,D,15576,D,0,D,5,D,0,D,0,D,0,D,0,D,0,D,140,722,140,100,722,706,4590,4590,30800,30800,30400,29659,500,500,0,0,0,0,0,0,30800,30800,0,0,640,600,640,600,4500,4449,0,0,0,0,0,0,0,0,0
04378414,1,0,0,2020,2019,4,.00000,.00000,1,-.4000,-.4000,03,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,5100,D,0,D,0,D,0,D,2,D,2,D,4650,D,0,-100,0,0,-100,-103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18300,18300,9750,9512,0,0,0,0,0,0,0
04378464,1,0,0,2020,2019,0,.02900,.02900,1,.24000,.24000,12,D,.08250,.08250,140000,D,0,D,0,D,0,D,0,D,0,D,0,D,1800,D,0,D,0,D,0,D,0,D,0,D,0,D,25087,10610,25087,24944,10610,10585,20540,21135,141000,141000,141000,137561,0,0,0,0,0,0,0,0,141000,141000,0,0,25087,24944,25087,24944,2200,2200,0,0,0,0,0,0,0,0,0
04378474,1,0,0,2020,2019,0,.00000,.00000,1,-.0765,-.0765,03,D,.00000,.00000,0,D,0,D,0,D,0,D,14982,D,0,D,4644,D,0,D,450,D,0,D,0,D,0,D,0,D,0,D,0,-25,0,0,-25,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12200,12200,727,712,0,0,0,0,0,0,0
04378504,1,0,0,2020,2019,2,.15300,.15300,1,.27980,.27980,10,D,.00000,.00000,36586,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,50,D,0,D,1,D,1,D,1,D,0,D,-1289,0,-1289,-1705,0,0,5598,5598,36660,36660,0,0,1920,1879,580,621,0,0,709,1085,36660,36660,0,0,1920,1879,1920,1879,0,0,0,0,0,0,0,0,0,0,0
04378564,1,55,0,2020,2019,2,.06280,.06280,2,.24000,.24000,33,D,.06490,.06490,243189,D,60925,D,0,D,0,D,0,D,0,D,0,D,19981,D,1790,D,0,D,0,D,0,D,0,D,9440,D,56232,18562,56232,55946,18562,18571,33341,33936,311414,311414,311414,303819,1000,1000,0,0,0,0,0,0,311414,311414,0,0,57232,56946,57232,56946,16050,16050,23408,22654,0,0,0,0,0,0,0
04378604,1,0,0,2020,2019,2,.00000,.00000,1,.12000,.12000,05,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,4200,D,0,D,0,D,0,D,0,D,0,D,0,D,841,0,841,800,0,0,0,0,36000,36000,36000,35122,1000,1000,0,0,0,0,0,0,36000,36000,0,0,1841,1800,1841,1800,9074,9074,4200,4098,0,0,0,0,0,0,0
04378614,1,0,0,2020,2019,2,.15300,.15300,2,.12000,.12000,22,D,.05050,.05050,26471,D,38000,D,0,D,0,D,0,D,0,D,0,D,5200,D,1271,D,0,D,0,D,2,D,2,D,3412,D,422,2509,422,367,2509,2490,9864,9864,64482,64482,64471,62899,4000,4000,0,0,0,0,0,0,64482,64482,0,0,4422,4367,4422,4367,0,0,0,0,0,0,0,0,0,0,0
04378634,1,0,0,2020,2019,0,.00000,.00000,1,.22000,.22000,44,D,.00000,.00000,0,D,0,D,0,D,91274,D,0,D,0,D,0,D,0,D,25,D,0,D,0,D,0,D,0,D,7200,D,13255,0,13255,13142,0,0,0,0,91274,91274,0,0,0,0,0,0,0,0,0,0,91274,91274,0,0,13255,13142,13255,13142,0,0,0,0,0,0,0,0,0,0,0
04378664,1,0,0,2020,2019,4,.00000,.00000,1,-.4000,-.4000,33,D,-.0201,-.0196,0,D,0,D,0,D,0,D,0,D,0,D,13096,D,0,D,0,D,0,D,0,D,2,D,2,D,0,D,0,-272,0,0,-272,-278,0,0,16283,16283,16283,15886,1649,1644,0,0,0,0,0,0,16283,16283,0,0,1649,1644,1649,1644,11200,11200,0,0,0,0,0,0,0,0,0
04378674,1,0,58,2020,2019,0,.15300,.15300,2,.12000,.12000,0,T,.00000,.00000,11699,D,33769,D,0,D,0,D,0,D,0,D,0,D,2500,D,1557,D,0,D,0,D,0,D,0,D,0,D,2140,0,2140,2085,0,0,6957,6957,45468,45468,0,0,0,0,0,0,0,0,0,0,45468,45468,0,0,2140,2085,2140,2085,0,0,0,0,0,0,0,0,0,0,0
04378724,1,0,0,2020,2019,2,.00000,.00000,1,-.0765,-.0765,05,D,-.0639,-.0639,0,D,0,D,0,D,0,D,0,D,0,D,0,D,5000,D,0,D,0,D,0,D,0,D,0,D,19804,D,0,0,0,0,0,0,0,0,1354,1354,1354,1321,0,0,0,0,0,0,0,0,1354,1354,0,0,0,0,0,0,9074,9074,24804,24199,0,0,0,0,0,0,0
04378734,1,0,0,2020,2019,0,.15300,.15300,1,-.0765,-.0765,0,T,.00000,.00000,5500,D,0,D,0,D,0,D,11382,D,0,D,7200,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,-421,0,-421,-421,0,0,842,842,5500,5500,0,0,0,0,0,0,0,0,421,421,5500,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04378774,1,0,0,2020,2019,0,.15300,.15300,1,.22000,.22000,33,D,.06210,.06490,90000,D,0,D,0,D,0,D,0,D,0,D,31800,D,0,D,1278,D,0,D,0,D,0,D,0,D,0,D,12975,4809,12975,12862,4809,4786,13770,13770,90000,90000,90000,87805,0,0,0,0,0,0,0,0,90000,90000,0,0,12975,12862,12975,12862,8000,8000,1278,1247,0,0,0,0,0,0,0
04378804,1,0,0,2020,2019,4,.15300,.15300,2,.12000,.12000,0,T,.00000,.00000,38000,D,28000,D,0,D,0,D,0,D,0,D,0,D,800,D,400,D,0,D,1,D,2,D,2,D,0,D,-396,0,-396,-451,0,0,10098,10098,66000,66000,0,0,4604,4549,396,451,0,0,0,0,66000,66000,0,0,4604,4549,4604,4549,0,0,0,0,0,0,0,0,0,0,0
04378814,1,22,0,2020,2019,2,.15300,.15300,1,.12000,.12000,36,D,.02850,.02850,24700,D,0,D,0,D,10452,D,0,D,0,D,9900,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1036,562,1036,995,562,488,3779,3779,37626,37626,37626,36708,1000,1000,0,0,0,0,0,0,37626,37626,0,0,2036,1995,2036,1995,0,0,0,0,0,0,0,0,0,0,0
04378874,1,0,0,2020,2019,0,.15300,.15300,1,.21000,.21000,07,D,.04560,.04570,49797,D,0,D,0,D,0,D,22782,D,0,D,0,D,5740,D,766,D,0,D,0,D,0,D,0,D,14296,D,6046,2052,6046,5979,2052,2047,7619,7619,69162,69162,49797,48582,0,0,0,0,0,0,0,0,54866,54866,0,0,6046,5979,6046,5979,0,0,0,0,0,0,0,0,0,0,0
04378874,2,0,0,2020,2019,0,.15300,.15300,1,.22000,.22000,07,D,.05030,.05040,57244,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,5504,2365,5504,5392,2365,2354,8758,8758,56044,56044,56044,54677,0,0,0,0,0,0,0,0,56044,56044,0,0,5504,5392,5504,5392,0,0,0,0,0,0,0,0,0,0,0
04378914,1,76,0,2020,2019,0,.00000,.00000,2,.12000,.12000,12,D,.06720,.06720,0,D,0,D,0,D,60000,D,6924,D,0,D,0,D,3000,D,0,D,0,D,0,D,0,D,0,D,8244,D,4435,2347,4435,4380,2347,2324,0,0,65895,65895,60010,58546,0,0,0,0,0,0,0,0,65895,65895,0,0,4435,4380,4435,4380,4400,4400,13578,13224,0,0,0,0,0,0,0
04378914,2,49,0,2020,2019,2,.15300,.15300,2,.12000,.12000,12,D,.07330,.07330,46934,D,45059,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,2,D,2,D,0,D,3723,5329,3723,3668,5329,5293,14075,14075,91993,91993,91993,89749,4000,4000,0,0,0,0,0,0,91993,91993,0,0,7723,7668,7723,7668,4400,4400,5322,5159,0,0,0,0,0,0,0
04378914,3,0,0,2020,2019,0,.15300,.15300,1,.12000,.12000,12,D,.07600,.07600,34223,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,2449,1876,2449,2421,1876,1858,5236,5236,34223,34223,34223,33388,0,0,0,0,0,0,0,0,34223,34223,0,0,2449,2421,2449,2421,2200,2200,1876,1813,0,0,0,0,0,0,0
04378914,4,0,0,2020,2019,0,.15300,.15300,1,.12000,.12000,12,D,.07600,.07600,33988,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,2421,1859,2421,2393,1859,1840,5200,5200,33988,33988,33988,33159,0,0,0,0,0,0,0,0,33988,33988,0,0,2421,2393,2421,2393,2200,2200,1859,1796,0,0,0,0,0,0,0
04378984,1,0,0,2020,2019,0,.00000,.00000,1,-.0765,-.0765,05,D,-.0639,-.0639,0,D,0,D,0,D,0,D,13206,D,0,D,2520,D,0,D,11,D,0,D,0,D,0,D,0,D,40,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537,4537,51,50,0,0,0,0,0,0,0
04379034,1,0,0,2020,2019,5,.00000,.00000,1,-.4500,-.4500,28,D,-.0450,-.0450,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1600,D,150,D,0,D,5,D,5,D,5,D,5668,D,0,0,0,0,0,0,0,0,2220,2220,2220,2166,0,0,0,0,0,0,0,0,2220,2220,0,0,0,0,0,0,10100,10100,0,0,0,0,0,0,0,0,0
04379084,1,40,0,2020,2019,1,.15300,.15300,2,.22000,.24000,30,D,.00000,.00000,93000,D,100000,D,0,D,0,D,0,D,0,D,0,D,9500,D,50,D,0,D,1,D,1,D,1,D,14556,D,26813,0,26813,26584,0,0,29529,29529,193000,193000,0,0,2000,2000,0,0,0,0,0,0,193000,193000,0,0,28813,28584,28813,28584,0,0,0,0,0,0,0,0,0,0,0
04379094,1,42,0,2020,2019,2,.15300,.15300,1,.12000,.12000,10,D,.00000,.00000,34370,D,0,D,0,D,2460,D,0,D,0,D,11760,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,941,0,941,900,0,0,5259,5259,36830,36830,0,0,1000,1000,0,0,0,0,0,0,36830,36830,0,0,1941,1900,1941,1900,0,0,0,0,0,0,0,0,0,0,0
04379164,1,56,0,2020,2019,0,.15300,.15300,2,.12000,.12000,43,D,.00000,.00000,35000,D,42000,D,-4700,D,0,D,0,D,0,D,0,D,280,D,1001,D,0,D,0,D,0,D,0,D,0,D,7138,0,7138,7083,0,0,11781,11781,87120,87120,0,0,0,0,0,0,0,0,0,0,87120,87120,0,0,7138,7083,7138,7083,0,0,0,0,0,0,0,0,0,0,0
04379184,1,0,0,2020,2019,4,.00000,.00000,1,-.4500,-.4500,14,D,-.0810,-.0810,0,D,0,D,0,D,0,D,0,D,0,D,12000,D,0,D,0,D,0,D,4,D,4,D,4,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04379204,1,46,0,2020,2019,1,.15300,.15300,1,.07650,.07650,05,D,.00780,.00780,13151,D,0,D,0,D,0,D,0,D,0,D,0,D,6000,D,0,D,0,D,0,D,0,D,0,D,6720,D,-185,-131,-185,-249,-131,-137,2012,2012,13151,13151,13151,12830,0,0,0,0,0,0,185,249,13151,13151,0,0,0,0,0,0,9074,9074,12720,12410,0,0,0,0,131,134,0
04379224,1,59,0,2020,2019,0,.03800,.03800,2,.37000,.37000,48,D,.00000,.00000,450111,D,243189,D,102901,D,0,D,0,D,0,D,0,D,12400,D,216,D,0,D,0,D,0,D,0,D,21604,D,213623,0,213623,212632,0,0,57055,58245,765637,765637,0,0,0,0,0,0,0,0,0,0,744033,744033,0,0,209732,208741,209732,208741,0,0,0,0,0,0,0,0,0,0,0
04379244,1,0,0,2020,2019,2,.15300,.15300,1,-.5500,-.5500,39,D,.00000,.00000,6000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,2,D,2,D,2,D,0,D,-2925,0,-2925,-2925,0,0,918,918,13700,13700,6000,5854,0,0,525,525,0,0,2400,2400,13700,13700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04379294,1,0,0,2020,2019,0,.00000,.00000,1,-.0765,-.0765,22,D,-.0229,-.0229,0,D,0,D,0,D,0,D,4158,D,0,D,3240,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04379304,1,0,0,2020,2019,3,.00000,.00000,1,-.0765,-.0765,05,D,-.0639,-.0639,0,D,0,D,0,D,0,D,0,D,0,D,0,D,500,D,0,D,0,D,0,D,0,D,0,D,500,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9074,9074,1000,976,0,0,0,0,0,0,0
04379344,1,0,62,2020,2019,0,.15300,.15300,2,.00000,.00000,10,D,.00000,.00000,0,D,23854,D,0,D,0,D,0,D,0,D,0,D,2900,D,0,D,0,D,0,D,0,D,0,D,6720,D,0,0,0,0,0,0,3650,3650,23854,23854,0,0,0,0,0,0,0,0,0,0,23854,23854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04379364,1,56,0,2020,2019,0,.07900,.07900,2,.32000,.32000,48,D,.00000,.00000,243189,D,120000,D,0,D,0,D,0,D,0,D,0,D,5600,D,320,D,0,D,0,D,0,D,0,D,15392,D,88698,0,88698,87968,0,0,42911,43506,418352,418352,0,0,0,0,0,0,0,0,0,0,418352,418352,0,0,88698,87968,88698,87968,0,0,0,0,0,0,0,0,0,0,0
04379364,2,0,0,2020,2019,0,.15300,.15300,1,.22000,.22000,48,D,.00000,.00000,75000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,9675,0,9675,9562,0,0,11475,11475,75000,75000,0,0,0,0,0,0,0,0,0,0,75000,75000,0,0,9675,9562,9675,9562,0,0,0,0,0,0,0,0,0,0,0
04379374,1,0,0,2020,2019,1,.15300,.15300,1,.27980,.27980,45,D,.06250,.06250,30000,D,0,D,0,D,0,D,0,D,0,D,0,D,2550,D,200,D,0,D,1,D,1,D,1,D,13200,D,-693,892,-693,-1110,892,866,4590,4590,37000,37000,37000,36098,1961,1920,39,80,0,0,654,1030,37000,37000,0,0,1961,1920,1961,1920,0,0,0,0,0,0,0,0,0,0,0
04379384,1,0,0,2020,2019,0,.00000,.00000,1,-.0765,-.0765,05,D,-.0639,-.0639,0,D,0,D,480,D,1230,D,31830,D,0,D,0,D,3200,D,2662,D,0,D,0,D,0,D,0,D,800,D,0,0,0,0,0,0,0,0,3060,3060,3060,2985,0,0,0,0,0,0,0,0,3060,3060,0,0,0,0,0,0,4537,4537,6662,6500,0,0,0,0,0,0,0
04379414,1,0,0,2020,2019,2,.15300,.15300,1,.12000,.12000,11,D,.05750,.05750,65000,D,0,D,0,D,0,D,0,D,0,D,0,D,3000,D,0,D,0,D,1,D,2,D,2,D,7528,D,1321,2738,1321,1280,2738,2713,9945,9945,65000,65000,65000,63415,4000,4000,0,0,0,0,0,0,65000,65000,0,0,5321,5280,5321,5280,4600,4600,0,0,0,0,0,0,0,0,0
04379414,2,0,0,2020,2019,0,.15300,.15300,1,.22000,.22000,11,D,.05750,.05750,59078,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,6172,2805,6172,6059,2805,2790,9039,9039,59078,59078,59078,57637,0,0,0,0,0,0,0,0,59078,59078,0,0,6172,6059,6172,6059,4600,4600,0,0,0,0,0,0,0,0,0
04379434,1,0,28,2020,2019,0,.15300,.15300,2,.12000,.12000,10,D,.00000,.00000,25000,D,31580,D,0,D,0,D,0,D,0,D,16800,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,3474,0,3474,3419,0,0,8657,8657,56580,56580,0,0,0,0,0,0,0,0,0,0,56580,56580,0,0,3474,3419,3474,3419,0,0,0,0,0,0,0,0,0,0,0
04379464,1,0,0,2020,2019,0,.02900,.02900,1,.24000,.24000,12,D,.08990,.08990,145000,D,0,D,0,D,0,D,0,D,0,D,0,D,4400,D,0,D,0,D,0,D,0,D,0,D,13580,D,24107,10296,24107,24012,10296,10273,20685,21280,148300,148300,148300,144683,0,0,0,0,0,0,0,0,134720,134720,0,0,24107,24012,24107,24012,2200,2200,13314,13011,0,0,0,0,0,0,0
04379464,2,0,0,2020,2019,0,.15300,.15300,1,.12000,.12000,12,D,.07600,.07600,35000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,2542,1935,2542,2515,1935,1917,5355,5355,35000,35000,35000,34146,0,0,0,0,0,0,0,0,35000,35000,0,0,2542,2515,2542,2515,2200,2200,1935,1871,0,0,0,0,0,0,0
04379524,1,0,0,2020,2019,4,.00000,.00000,1,-.0765,-.0765,02,D,.00000,.00000,0,D,0,D,0,D,2566,D,0,D,0,D,0,D,2370,D,212,D,0,D,0,D,0,D,0,D,1020,D,0,0,0,0,0,0,0,0,2566,2566,0,0,0,0,0,0,0,0,0,0,2566,2566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04379564,1,0,0,2020,2019,4,.00000,.00000,1,-.4000,-.4000,14,D,-.0720,-.0720,0,D,0,D,0,D,0,D,0,D,0,D,12000,D,0,D,0,D,0,D,2,D,2,D,2,D,0,D,0,0,0,0,0,0,0,0,11200,11200,11200,10927,0,0,0,0,0,0,0,0,11200,11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04379594,1,0,0,2020,2019,2,.15300,.15300,1,.21060,.21060,19,D,.05050,.05050,24770,D,0,D,0,D,0,D,0,D,0,D,0,D,2200,D,0,D,0,D,1,D,2,D,2,D,4196,D,-7419,290,-7419,-7574,290,270,3790,3790,24770,24770,24770,24166,642,612,2800,2800,0,0,4619,4774,24770,24770,0,0,642,612,642,612,0,0,0,0,0,0,0,0,231,233,0
04379604,1,0,0,2020,2019,2,.00000,.00000,1,.00000,.00000,05,D,.00000,.00000,0,D,0,D,0,D,24912,D,0,D,0,D,0,D,2000,D,5,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,24912,24912,24912,24304,656,626,0,0,0,0,0,0,24912,24912,0,0,656,626,656,626,9074,9074,2005,1956,0,0,0,0,0,0,0
04379624,1,33,0,2020,2019,1,.15300,.15300,2,.21870,.21870,44,D,.00000,.00000,94000,D,55000,D,0,D,0,D,0,D,0,D,0,D,4500,D,0,D,0,D,1,D,1,D,1,D,21368,D,16479,0,16479,16339,0,0,22797,22797,149000,149000,0,0,2000,2000,0,0,0,0,0,0,127632,127632,0,0,18479,18339,18479,18339,0,0,0,0,0,0,0,0,0,0,0
04379644,1,0,0,2020,2019,0,.15300,.15300,1,.12000,.12000,24,D,.03780,.03660,30000,D,0,D,0,D,0,D,0,D,0,D,17640,D,0,D,20,D,0,D,0,D,0,D,0,D,0,D,2122,-690,2122,2095,-690,-678,4590,4590,31500,31500,31500,30732,0,0,0,0,0,0,0,0,31500,31500,0,0,2122,2095,2122,2095,12200,12098,494,486,1722,1658,0,0,0,0,0
04379644,2,0,0,2020,2019,0,.15300,.15300,1,.12000,.12000,24,D,.06800,.06800,50000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,4102,2050,4102,4075,2050,2027,7650,7650,48000,48000,48000,46829,0,0,0,0,0,0,0,0,48000,48000,0,0,4102,4075,4102,4075,12200,12098,2050,1977,0,0,0,0,0,0,0
