NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
04267104,1,0,0,2020,2019,0,.15300,.15300,1,.22000,.24000,44,D,.00000,.00000,97000,D,0,D,0,D,312,D,0,D,0,D,0,D,4550,D,20,D,0,D,0,D,0,D,0,D,4176,D,14536,0,14601,14471,0,0,14841,14841,97312,97312,0,0,0,0,0,0,0,0,0,0,97312,97312,0,0,14601,14471,14601,14471,0,0,0,0,0,0,0,0,0,0,0
04267154,1,0,0,2020,2019,1,.15300,.15300,2,.22000,.22000,05,D,.10250,.10250,50000,D,89000,D,0,D,0,D,0,D,0,D,0,D,4800,D,235,D,0,D,0,D,1,D,1,D,13492,D,19965,7225,20077,19852,7312,7139,21267,21267,162400,162400,162400,158439,2000,2000,0,0,0,0,0,0,162400,162400,0,0,22077,21852,22077,21852,9074,9074,16199,15971,0,0,0,0,0,0,0
04267184,1,0,57,2020,2019,0,.15300,.15300,2,.12000,.12000,33,D,.06210,.06210,0,D,80000,D,0,D,0,D,0,D,0,D,0,D,4000,D,0,D,0,D,0,D,0,D,0,D,1296,D,6257,3374,6284,6229,3394,3355,12240,12240,80000,80000,80000,78049,0,0,0,0,0,0,0,0,80000,80000,0,0,6284,6229,6284,6229,16050,16050,5296,5167,0,0,0,0,0,0,0
04267234,1,0,60,2020,2019,0,.02900,.02900,2,.24000,.24000,45,D,.04950,.04950,244882,D,0,D,0,D,0,D,0,D,0,D,0,D,2060,D,30,D,0,D,0,D,0,D,0,D,14100,D,42322,12369,42465,42179,12369,12369,23581,24176,249882,249882,249882,243787,0,0,0,0,0,0,0,0,249882,249882,0,0,42465,42179,42465,42179,0,0,0,0,0,0,0,0,0,0,0
04267324,1,0,0,2020,2019,0,.00000,.00000,1,-.0765,-.0765,34,D,.00000,.00000,0,D,0,D,0,D,2700,D,19483,D,0,D,0,D,380,D,0,D,0,D,0,D,0,D,0,D,1200,D,0,0,0,0,0,0,0,0,2700,2700,2700,2634,0,0,0,0,0,0,0,0,2700,2700,0,0,0,0,0,0,10000,10000,1580,1541,0,0,0,0,0,0,0
04267334,1,0,0,2020,2019,1,.00000,.00000,1,-.0765,-.0765,05,D,-.0639,-.0639,0,D,0,D,0,D,0,D,19735,D,0,D,0,D,1300,D,60,D,0,D,0,D,0,D,0,D,144,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9074,9074,1504,1467,0,0,0,0,0,0,0
04267354,1,0,52,2020,2019,0,.06980,.06980,2,.24000,.24000,06,D,.04710,.04710,71000,D,145000,D,0,D,0,D,0,D,0,D,0,D,1800,D,96,D,0,D,0,D,0,D,0,D,23288,D,32105,8609,32200,32010,8609,8609,31548,32143,216000,216000,216000,210732,0,0,0,0,0,0,0,0,192712,192712,0,0,32200,32010,32200,32010,0,0,0,0,0,0,0,0,0,0,0
04267374,1,41,0,2020,2019,1,.15300,.15300,1,.11310,.11310,11,D,.05750,.05750,58949,D,0,D,0,D,0,D,0,D,0,D,0,D,6400,D,0,D,0,D,1,D,1,D,1,D,25260,D,875,999,877,874,1006,992,9019,9019,58949,58949,58949,57511,2000,2000,0,0,0,0,0,0,33689,33689,0,0,2877,2874,2877,2874,4600,4600,31660,30888,0,0,0,0,0,0,0
04267384,1,0,0,2020,2019,3,.00000,.00000,1,-.0765,-.0765,45,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1100,D,0,D,0,D,0,D,0,D,0,D,200,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04267404,1,0,0,2020,2019,0,.00000,.00000,1,.18000,.18000,07,D,.01090,.01270,0,D,0,D,0,D,21180,D,19795,D,0,D,0,D,4700,D,153,D,0,D,0,D,0,D,0,D,4244,D,1235,18,1248,1221,20,16,0,0,24219,24219,18215,17771,0,0,0,0,0,0,0,0,24219,24219,0,0,1248,1221,1248,1221,0,0,0,0,0,0,0,0,0,0,0
