NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
04214874,1,0,0,2020,2019,2,.00000,.00000,1,-.0765,-.0765,10,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1200,D,0,D,0,D,0,D,0,D,0,D,6378,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04214884,1,59,0,2020,2019,0,.15300,.15300,2,.10000,.10000,38,D,.06710,.06710,15000,D,26000,D,0,D,0,D,0,D,0,D,11400,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1650,1766,1660,1620,1770,1754,6273,6273,41000,41000,41000,40000,0,0,0,0,0,0,0,0,41000,41000,0,0,1660,1620,1660,1620,4540,4540,0,0,0,0,0,0,0,0,0
04214894,1,0,0,2020,2019,0,.00000,.00000,1,-.0765,-.0765,0,T,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,312,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,3690,3690,0,0,0,0,0,0,0,0,0,0,3690,3690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04214944,1,0,0,2020,2019,0,.15300,.15300,1,.10000,.10000,36,D,.00000,.00000,16730,D,0,D,0,D,0,D,0,D,0,D,5028,D,0,D,0,D,0,D,0,D,0,D,0,D,40,D,448,0,453,433,0,0,2560,2560,16730,16730,16730,16322,0,0,0,0,0,0,0,0,16730,16730,0,0,453,433,453,433,0,0,0,0,0,0,0,0,0,0,0
04214954,1,0,0,2020,2019,0,.15300,.15300,1,.07650,.07650,05,D,.00780,.00780,10000,D,0,D,0,D,0,D,0,D,0,D,30000,D,0,D,100,D,0,D,0,D,0,D,0,D,0,D,-442,-157,-426,-490,-156,-162,1530,1530,10000,10000,10000,9756,0,0,0,0,0,0,426,490,10000,10000,0,0,0,0,0,0,4537,4537,100,98,0,0,0,0,156,158,0
04214964,1,62,0,2020,2019,1,.15300,.15300,1,.12000,.12000,33,D,.06210,.06210,45000,D,0,D,0,D,550,D,0,D,0,D,12924,D,0,D,51,D,0,D,0,D,0,D,0,D,0,D,2477,1632,2487,2446,1639,1609,6885,6885,45550,45550,45550,44439,500,500,0,0,0,0,0,0,45550,45550,0,0,2987,2946,2987,2946,11200,11200,51,50,0,0,0,0,0,0,0
04214974,1,0,31,2020,2019,0,.15300,.15300,2,.22000,.22000,05,D,.08000,.09300,60000,D,65000,D,0,D,0,D,0,D,0,D,12540,D,0,D,100,D,0,D,0,D,0,D,0,D,1200,D,13793,4841,13849,13624,4874,4742,19125,19125,125000,125000,125000,121951,0,0,0,0,0,0,0,0,125000,125000,0,0,13849,13624,13849,13624,9074,9074,1300,1268,0,0,0,0,0,0,0
04214994,1,43,0,2020,2019,1,.15300,.15300,2,.12000,.22000,37,D,.05000,.05000,56000,D,48000,D,0,D,0,D,0,D,0,D,0,D,3100,D,50,D,0,D,1,D,1,D,1,D,5604,D,7199,4053,7229,7109,4060,4032,15912,15912,104000,104000,104000,101463,2000,2000,0,0,0,0,0,0,104000,104000,0,0,9229,9109,9229,9109,12700,12700,0,0,0,0,0,0,0,0,0
04215034,1,0,0,2020,2019,2,.15300,.15300,1,-.5500,-.5500,0,T,.00000,.00000,6000,D,0,D,0,D,0,D,0,D,0,D,0,D,900,D,0,D,0,D,2,D,2,D,2,D,1088,D,-2925,0,-2925,-2925,0,0,918,918,6000,6000,0,0,0,0,525,525,0,0,2400,2400,6000,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04215054,1,0,0,2020,2019,0,.15300,.15300,1,.22200,.22200,41,D,.06000,.06000,12000,D,0,D,0,D,18000,D,16291,D,0,D,0,D,250,D,375,D,0,D,0,D,0,D,0,D,4852,D,2898,513,2905,2877,520,494,1836,1836,38024,38024,14800,14171,0,0,0,0,0,0,0,0,38024,38024,0,0,2905,2877,2905,2877,0,0,0,0,0,0,0,0,0,0,0
