NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
04310084,1,0,0,2020,2019,2,.15300,.15300,2,.22000,.22000,05,D,.08000,.08000,50000,D,70000,D,0,D,0,D,0,D,0,D,0,D,1500,D,0,D,0,D,0,D,1,D,2,D,15548,D,10080,2980,10249,10024,3076,2947,18360,18360,120000,120000,120000,117073,2500,2500,0,0,0,0,0,0,120000,120000,0,0,12749,12524,12749,12524,9074,9074,17048,16632,0,0,0,0,0,0,0
04310104,1,0,0,2020,2019,0,.15300,.15300,1,.22000,.22000,33,D,.06210,.06210,78000,D,0,D,0,D,0,D,0,D,0,D,49648,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,10250,4045,10335,10222,4060,4040,11934,11934,78000,78000,78000,76098,0,0,0,0,0,0,0,0,78000,78000,0,0,10335,10222,10335,10222,8000,8000,0,0,0,0,0,0,0,0,0
04310154,1,0,0,2020,2019,2,.00000,.00000,1,-.0765,-.0765,05,D,-.0639,-.0639,0,D,0,D,0,D,0,D,0,D,0,D,0,D,11000,D,0,D,0,D,0,D,0,D,0,D,860,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9074,9074,10860,10595,0,0,0,0,0,0,0
04310164,1,0,0,2020,2019,0,.15300,.15300,1,.07650,.07650,10,D,.00000,.00000,10000,D,0,D,0,D,0,D,0,D,0,D,9408,D,0,D,100,D,0,D,0,D,0,D,0,D,0,D,-474,0,-426,-490,0,0,1530,1530,10000,10000,0,0,0,0,0,0,0,0,426,490,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04310174,1,0,79,2020,2019,0,.00000,.00000,2,.12000,.12000,28,D,.05010,.05010,0,D,0,D,4200,D,48000,D,15710,D,0,D,0,D,5500,D,146,D,0,D,0,D,0,D,0,D,5160,D,4569,1668,4610,4555,1695,1660,0,0,67354,67354,67354,65711,0,0,0,0,0,0,0,0,67354,67354,0,0,4610,4555,4610,4555,15100,15100,0,0,0,0,0,0,0,0,0
04310184,1,0,0,2020,2019,0,.15300,.15300,1,.12000,.12000,03,D,.03340,.03340,47500,D,0,D,0,D,0,D,0,D,0,D,11400,D,0,D,0,D,0,D,0,D,0,D,0,D,240,D,4021,969,4042,4015,980,965,7268,7268,47500,47500,47500,46341,0,0,0,0,0,0,0,0,47500,47500,0,0,4042,4015,4042,4015,12200,12200,1220,1176,0,0,0,0,0,0,0
04310204,1,0,0,2020,2019,0,.15300,.15300,1,.10000,.10000,07,D,.03260,.03570,7200,D,0,D,0,D,0,D,0,D,0,D,12000,D,0,D,60,D,0,D,0,D,0,D,0,D,0,D,925,93,940,920,105,89,1102,1102,21604,21604,21604,21077,0,0,0,0,0,0,0,0,21604,21604,0,0,940,920,940,920,0,0,0,0,0,0,0,0,0,0,0
04310204,3,0,0,2020,2019,0,.00000,.00000,1,-.0765,-.0765,07,D,-.0176,-.0176,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04310244,1,0,67,2020,2019,0,.02900,.02900,2,.24000,.24000,05,D,.09300,.09300,243189,D,0,D,0,D,0,D,28613,D,0,D,0,D,6700,D,6355,D,0,D,0,D,0,D,0,D,14424,D,46169,15615,46383,46097,15744,15572,23532,24127,267510,267510,243189,237258,0,0,0,0,0,0,0,0,267510,267510,0,0,46383,46097,46383,46097,9074,9074,8777,8723,0,0,0,0,0,0,0
04310254,1,0,0,2020,2019,0,.00000,.00000,1,.22150,.22150,26,D,.02170,.02170,0,D,0,D,0,D,31764,D,29335,D,0,D,0,D,5000,D,3000,D,0,D,0,D,0,D,0,D,20700,D,1932,49,1935,1931,50,49,0,0,46905,46905,46905,45761,0,0,0,0,0,0,0,0,26205,26205,0,0,1935,1931,1935,1931,0,0,28700,28000,0,0,0,0,0,0,0
04310264,1,0,0,2020,2019,1,.15300,.15300,1,.27980,.27980,05,D,.00000,.00000,33000,D,0,D,0,D,0,D,0,D,0,D,0,D,1500,D,0,D,0,D,1,D,1,D,1,D,9596,D,-2125,0,-1813,-2230,0,0,5049,5049,33000,33000,33000,32195,1481,1440,519,560,0,0,1294,1670,33000,33000,0,0,1481,1440,1481,1440,9074,9074,11096,10825,0,0,0,0,0,0,0
