QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20202,04279873,24,0,5,01,D,100,D,.0397,D,270000,D,30,D,1624,D,3,D,4,D,5,D,,A,340,D,397,D,399,D,400,D,887,D,885,D,884,D,,A,09,D,2019,D,1,D,,A,268033,D,267636,D,267237,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04279953,23,0,5,01,D,100,D,.0743,D,52000,D,30,D,560,D,3,D,4,D,,A,,A,199,D,186,D,187,D,188,D,175,D,174,D,173,D,,A,01,D,1999,D,1,D,,A,28254,D,28068,D,27881,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04279983,18,0,5,01,D,100,D,.0385,D,240000,D,15,D,1761,D,,B,,B,,B,,B,4,D,1189,D,1192,D,1196,D,568,D,565,D,561,D,,A,04,D,2015,D,1,D,,A,177192,D,176003,D,174811,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04280063,15,0,5,01,D,100,D,.0641,F,131116,F,30,F,1070,F,3,F,4,F,,A,,A,249,F,280,F,281,F,283,F,541,F,540,F,538,F,,A,12,F,2006,F,1,F,,A,101300,F,101020,F,100738,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04280123,38,0,5,01,D,100,D,.0475,D,240009,D,30,D,1252,D,,A,,A,,A,,A,0,D,1069,D,1073,D,1077,D,183,D,179,D,175,D,,A,06,D,1993,D,1,D,,A,46233,D,45164,D,44090,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04280213,10,0,5,01,D,100,D,.0435,D,124500,D,30,D,959,D,3,D,4,D,5,D,,A,339,D,172,D,172,D,173,D,448,D,448,D,447,D,,A,09,D,2019,D,1,D,,A,123650,D,123479,D,123306,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04280293,18,0,5,01,D,100,D,.0400,D,325000,D,30,D,2100,D,3,D,4,D,,A,,A,548,D,578,D,580,D,582,D,974,D,972,D,970,D,,A,11,D,2014,D,1,D,,A,292205,D,291627,D,291048,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04280393,21,0,5,01,D,100,D,.0499,D,183696,D,30,D,1302,D,3,D,4,D,5,D,,A,317,D,248,D,249,D,250,D,737,D,736,D,735,D,,A,10,D,2017,D,1,D,,A,177144,D,176896,D,176646,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04280413,16,0,5,01,D,100,D,.0425,D,110000,D,30,D,714,D,3,D,4,D,,A,,A,173,D,168,D,169,D,170,D,373,D,372,D,371,D,,A,08,D,2017,D,1,D,022020,D,105216,D,105048,D,104879,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04280433,18,0,1,01,D,100,D,.0400,D,160000,D,15,D,1657,D,3,D,4,D,,A,,A,473,D,679,D,682,D,684,D,505,D,502,D,500,D,,A,01,D,2019,D,1,D,,A,151370,D,150691,D,150009,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04280443,20,0,5,01,D,100,D,.0400,D,335000,D,30,D,2083,D,3,D,4,D,,A,,A,484,D,484,D,486,D,487,D,1115,D,1113,D,1112,D,,A,01,D,2020,D,1,D,,A,334518,D,334034,D,333548,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04280523,6,0,5,01,D,100,D,.0417,F,400000,F,30,F,2000,F,3,F,,A,,A,,A,51,F,710,F,713,F,715,F,1239,F,1236,F,1234,F,,A,04,F,2014,F,1,F,,A,356497,F,355787,F,355074,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04280563,21,0,5,01,D,100,D,.0604,D,200000,D,15,D,2200,D,3,D,4,D,,A,,A,508,D,1973,T,1917,T,1915,T,342,D,335,D,329,D,,A,11,D,2008,D,1,D,,A,67990,D,66640,D,65283,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04280623,21,0,5,01,D,100,D,.0450,D,306107,D,30,D,2194,D,3,D,4,D,,A,,A,643,D,582,D,584,D,586,D,969,D,967,D,965,D,,A,12,D,2011,D,1,D,,A,258474,D,257892,D,257308,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04280643,28,0,5,01,D,100,D,.0400,F,179000,F,30,F,1175,F,3,F,4,F,,A,,A,320,F,288,F,289,F,290,F,567,F,566,F,565,F,,A,06,F,2017,F,1,F,,A,170004,F,169716,F,169427,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04280663,34,0,5,01,D,100,D,.0365,D,110000,D,20,D,900,D,3,D,,A,5,D,,A,254,D,359,D,360,D,361,D,287,D,286,D,285,D,,A,03,D,2016,D,1,D,,A,94291,D,93932,D,93572,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
