QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,JMKPURQV,JMKP_RQV,JNONFDQV,JNON_DQV,JOTHSTQV,JOTH_TQV,JDINEOQV,JDIN_OQV,JALOUTQV,JALO_TQV,JMLPAYQV,JMLP_YQV,JSCHMLQV,JSCH_LQV,JMKGRCQV,JMKG_CQV,JALHOMQV,JALH_MQV,CIGARETX,CIGA_ETX,JCIGARQV,JCIG_RQV,JOTBACQV,JOTB_CQV,OTHTBACX,OTHT_ACX
20203,04311393,60,0,1,7930,D,1430,D,,A,1300,D,0,D,18,D,,A,6500,D,600,D,,A,,A,,A,,A
20203,04311423,55,0,1,975,D,481,D,572,D,0,D,0,D,,A,,A,494,D,0,D,,A,,A,,A,,A
20203,04311433,31,0,1,1560,D,260,D,520,D,0,D,0,D,,A,,A,1300,D,360,D,,A,,A,,A,,A
20203,04311493,31,0,1,2600,D,520,D,681,F,0,D,0,D,,A,,A,2080,D,0,D,,A,,A,,A,,A
20203,04311503,31,0,1,3900,D,1300,D,1300,D,1950,D,0,D,,A,,A,2600,D,900,D,100,D,1300,D,,A,,A
20203,04311523,35,0,1,2275,D,650,D,208,D,0,D,0,D,,A,,A,1625,D,60,D,,A,,A,,A,,A
20203,04311533,17,0,1,975,D,130,D,,A,520,D,0,D,,A,,A,845,D,0,D,,A,,A,,A,,A
20203,04311543,31,0,1,910,D,130,D,65,D,117,D,0,D,,A,,A,780,D,0,D,,A,,A,,A,,A
20203,04311563,15,0,1,780,D,104,D,,A,390,D,0,D,,A,,A,676,D,45,D,,A,,A,,A,,A
20203,04311623,43,0,1,650,D,195,D,325,D,520,D,0,D,,A,,A,455,D,90,D,,A,,A,,A,,A
20203,04311643,73,0,1,2106,D,260,D,260,D,325,D,0,D,,A,,A,1846,D,0,D,,A,,A,,A,,A
20203,04311673,26,0,1,1300,D,325,D,,A,975,D,0,D,,A,,A,975,D,60,D,,A,,A,,A,,A
20203,04311693,24,0,1,2080,D,390,D,,A,520,D,45,D,,A,,A,1690,D,0,D,,A,,A,,A,,A
20203,04311723,32,0,1,1300,D,260,D,,A,0,D,0,D,,A,,A,1040,D,0,D,,A,,A,,A,,A
20203,04311793,25,0,1,780,D,559,D,143,D,390,D,0,D,,A,,A,221,D,120,D,18,D,234,D,,A,,A
20203,04311803,31,0,1,1300,D,130,D,,A,325,D,0,D,,A,,A,1170,D,60,D,15,D,195,D,,A,,A
20203,04311843,14,0,1,2600,D,390,D,,A,975,D,0,D,,A,,A,2210,D,225,D,,A,,A,,A,,A
20203,04311873,43,0,1,3380,D,0,D,,A,1300,D,0,D,,A,,A,3380,D,90,D,,A,,A,,A,,A
20203,04311933,47,0,1,1625,D,156,D,78,D,520,D,0,D,,A,,A,1469,D,84,D,,A,,A,,A,,A
20203,04311953,25,0,1,650,D,65,D,,A,2600,D,0,D,,A,,A,585,D,0,D,,A,,A,,A,,A
20203,04311963,32,0,1,780,D,130,D,,A,325,D,0,D,,A,,A,650,D,0,D,25,D,325,D,,A,,A
20203,04312013,48,0,1,4875,D,975,D,,A,0,D,0,D,,A,,A,3900,D,0,D,,A,,A,,A,,A
20203,04312043,33,0,1,1625,D,325,D,,A,650,D,0,D,,A,,A,1300,D,90,D,,A,,A,,A,,A
20203,04312143,40,0,1,2275,D,325,D,260,D,390,D,0,D,,A,,A,1950,D,300,D,21,D,273,D,,A,,A
20203,04312213,22,0,1,1625,D,260,D,,A,0,D,0,D,,A,,A,1365,D,0,D,,A,,A,,A,,A
20203,04312243,30,0,1,3900,D,1300,D,,A,390,D,0,D,,A,,A,2600,D,450,D,,A,,A,,A,,A
20203,04312253,48,0,1,2600,D,650,D,325,D,975,D,0,D,,A,,A,1950,D,450,D,,C,575,F,,A,,A
20203,04312263,43,0,1,1300,D,650,D,,A,975,D,0,D,,A,,A,650,D,300,D,,A,,A,,A,,A
20203,04312273,26,0,1,650,D,91,D,65,D,0,D,0,D,,A,,A,559,D,0,D,,A,,A,,A,,A
20203,04312283,32,0,1,975,D,195,D,,A,650,D,0,D,,A,,A,780,D,0,D,,A,,A,,A,,A
20203,04312303,17,0,1,910,D,0,D,,A,0,D,0,D,,A,,A,910,D,0,D,,A,,A,,A,,A
20203,04312313,47,0,1,3250,D,650,D,,A,1560,D,60,D,,A,,A,2600,D,60,D,,A,,A,520,D,40,D
20203,04312323,35,0,1,390,D,0,D,,A,0,D,0,D,1200,D,,A,390,D,0,D,,A,,A,,A,,A
20203,04312343,72,0,1,1950,D,650,D,325,D,975,D,0,D,,A,,A,1300,D,60,D,,A,,A,,A,,A
20203,04312373,37,0,1,3575,D,540,F,,A,0,D,0,D,,A,,A,2123,F,0,D,,A,,A,,A,,A
20203,04312523,27,0,1,3250,D,0,D,,A,0,D,0,D,,A,,A,3250,D,0,D,,A,,A,,A,,A
20203,04312563,22,0,1,1950,D,260,D,,A,650,D,0,D,,A,,A,1690,D,0,D,,A,,A,,A,,A
20203,04312603,43,0,1,3900,D,650,D,,A,1300,D,0,D,,A,,A,3250,D,45,D,,A,,A,,A,,A
20203,04312613,39,0,1,975,D,0,D,,A,390,D,0,D,,A,,A,975,D,150,D,,A,,A,,A,,A
20203,04312623,34,0,1,975,D,0,D,,A,260,D,0,D,,A,,A,975,D,75,D,,A,,A,,A,,A
20203,04312633,23,0,1,3900,D,975,D,,A,0,D,0,D,,A,,A,2925,D,0,D,,A,,A,,A,,A
20203,04312653,24,0,1,2795,D,195,D,,A,1300,D,0,D,,A,,A,2600,D,0,D,,A,,A,,A,,A
20203,04312683,51,0,1,1911,D,429,D,1144,D,1300,D,0,D,,A,,A,1482,D,0,D,,A,,A,,A,,A
20203,04312743,27,0,1,1560,D,260,D,,A,0,D,0,D,,A,,A,1300,D,900,D,,A,,A,,A,,A
20203,04312803,23,0,1,1300,D,260,D,,A,65,D,0,D,,A,,A,1040,D,0,D,32,D,416,D,,A,,A
20203,04312823,26,0,1,1300,D,0,D,,A,1040,D,0,D,66,D,,A,1300,D,0,D,,A,,A,,A,,A
20203,04312853,22,0,1,3900,D,1950,D,1300,D,390,D,0,D,,A,,A,1950,D,60,D,,A,,A,,A,,A
20203,04312953,33,0,1,260,D,65,D,,A,0,D,0,D,,A,,A,195,D,0,D,,A,,A,,A,,A
20203,04312963,25,0,1,780,D,325,D,,A,0,D,0,D,,A,,A,455,D,0,D,,A,,A,52,D,4,D
20203,04312973,26,0,1,1560,D,390,D,,A,455,D,54,D,,A,,A,1170,D,240,D,16,D,208,D,,A,,A
20203,04312993,24,0,1,1950,D,975,D,,A,390,D,0,D,,A,,A,975,D,0,D,,A,,A,,A,,A
20203,04313063,32,0,1,1300,D,260,D,,A,0,D,0,D,,A,,A,1040,D,0,D,,A,,A,,A,,A
20203,04313073,31,0,1,3250,D,650,D,520,D,0,D,0,D,,A,,A,2600,D,45,D,40,D,520,D,,A,,A
20203,04313103,24,0,1,2600,D,650,D,,A,0,D,0,D,,A,,A,1950,D,0,D,,A,,A,,A,,A
20203,04313113,55,0,1,1300,D,390,D,,A,1300,D,0,D,,A,,A,910,D,0,D,,A,,A,,A,,A
20203,04313143,52,0,1,3900,D,260,D,,A,390,D,0,D,,A,,A,3640,D,0,D,,A,,A,,A,,A
20203,04313153,20,0,1,1950,D,650,D,,A,1040,D,0,D,,A,,A,1300,D,300,D,,A,,A,,A,,A
20203,04313183,32,0,1,650,D,65,D,,A,0,D,0,D,,A,,A,585,D,150,D,20,D,260,D,,A,,A
20203,04313193,13,0,1,780,D,130,D,,A,0,D,0,D,,A,,A,650,D,0,D,,A,,A,,A,,A
20203,04313203,65,0,1,1833,D,0,D,,A,286,D,0,D,,A,,A,1833,D,264,D,,A,,A,,A,,A
20203,04313253,15,0,1,1300,D,325,D,,A,390,D,0,D,,A,,A,975,D,0,D,,A,,A,,A,,A
20203,04313263,50,0,1,1040,D,325,D,,A,650,D,0,D,,A,,A,715,D,0,D,,A,,A,,A,,A
20203,04313273,48,0,1,1560,D,0,D,780,D,195,D,0,D,,A,,A,1560,D,30,D,,A,,A,,A,,A
20203,04313283,9,0,1,1300,D,390,D,390,D,130,D,0,D,,A,,A,910,D,30,D,25,D,325,D,,A,,A
20203,04313293,57,0,1,1560,D,156,D,260,D,975,D,60,D,,A,,A,1404,D,75,D,,A,,A,,A,,A
20203,04313303,44,0,1,1950,D,390,D,390,D,325,D,0,D,,A,,A,1560,D,0,D,,A,,A,,A,,A
20203,04313313,22,0,1,1300,D,195,D,,A,0,D,0,D,,A,,A,1105,D,0,D,,A,,A,,A,,A
20203,04313373,20,0,1,520,D,260,D,,A,0,D,0,D,,A,,A,260,D,0,D,,A,,A,,A,,A
20203,04313403,27,0,1,2340,D,260,D,325,D,520,D,0,D,,A,,A,2080,D,0,D,,A,,A,,A,,A
20203,04313494,14,0,1,1950,D,390,D,,A,0,D,0,D,,A,,A,1560,D,0,D,,A,,A,,A,,A
20203,04313533,21,0,1,1469,F,,A,,A,495,F,161,F,,A,,A,1159,F,171,F,,A,,A,,A,,A
20203,04313553,38,0,1,5525,D,650,D,,A,0,D,0,D,,A,,A,4875,D,0,D,,A,,A,,A,,A
20203,04313583,36,0,1,1625,D,455,D,,A,0,D,0,D,,A,,A,1170,D,0,D,,A,,A,,A,,A
20203,04313613,46,0,1,1560,D,234,D,,A,975,D,0,D,,A,,A,1326,D,0,D,,A,,A,,A,,A
20203,04313703,8,0,1,910,D,195,D,,A,0,D,0,D,,A,,A,715,D,0,D,,A,,A,,A,,A
20203,04313723,24,0,1,1300,D,325,D,325,D,0,D,60,D,,A,,A,975,D,60,D,,A,,A,,A,,A
20203,04313743,34,0,1,650,D,130,D,,A,3250,D,0,D,,A,,A,520,D,150,D,30,D,390,D,,A,,A
20203,04313773,84,0,1,3250,D,650,D,,A,1300,D,0,D,,A,,A,2600,D,60,D,,A,,A,,A,,A
20203,04313793,16,0,1,1950,D,325,D,,A,650,D,0,D,,A,,A,1625,D,0,D,,A,,A,,A,,A
20203,04313813,34,0,1,1300,D,130,D,,A,1300,D,0,D,,A,,A,1170,D,900,D,,A,,A,,A,,A
20203,04313833,36,0,1,3250,D,650,D,,A,325,D,0,D,,A,,A,2600,D,0,D,,A,,A,,A,,A
20203,04313863,50,0,1,1235,D,130,D,,A,910,D,0,D,,A,,A,1105,D,240,D,,A,,A,,A,,A
20203,04313883,13,0,1,650,D,65,D,,A,0,D,0,D,,A,,A,585,D,0,D,,A,,A,39,D,3,D
20203,04313903,28,0,1,1625,D,325,D,,A,520,D,0,D,,A,,A,1300,D,0,D,,A,,A,,A,,A
20203,04313913,35,0,1,1040,D,390,D,,A,520,D,0,D,,A,,A,650,D,45,D,,A,,A,,A,,A
20203,04313924,17,0,1,520,D,195,D,,A,455,D,0,D,,A,,A,325,D,0,D,,A,,A,,A,,A
20203,04313933,19,0,1,2600,D,650,D,,A,260,D,0,D,,A,,A,1950,D,0,D,30,D,390,D,,A,,A
20203,04313943,57,0,1,3250,D,975,D,,A,1300,D,0,D,,A,,A,2275,D,60,D,,A,,A,,A,,A
20203,04314003,74,0,1,2379,D,455,D,,A,728,D,0,D,,A,,A,1924,D,450,D,,A,,A,,A,,A
20203,04314063,38,0,1,1560,D,0,D,,A,0,D,0,D,,A,,A,1560,D,0,D,,A,,A,,A,,A
20203,04314083,32,0,1,1300,D,104,D,,A,0,D,0,D,,A,,A,1196,D,156,F,,A,,A,,A,,A
20203,04314123,31,0,1,1625,D,650,D,,A,650,D,0,D,,A,,A,975,D,0,D,,A,,A,,A,,A
20203,04314143,61,0,1,3055,D,130,D,,A,1105,D,0,D,,A,,A,2925,D,330,D,,A,,A,,A,,A
