QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMLOC,NUMLOC_,LOCLODGX,LOCL_DGX,ALCMEALX,ALCM_ALX,ALCGROCX,ALCG_OCX,LOCADMSX,LOCA_MSX,FOODLCDL,FOOD_CDL,LODGLCDL,LODG_CDL,ENTRLCDL,ENTR_CDL,ELSELCDL,ELSE_CDL,QLCMLAX,QLCMLAX_,QLCGLAX,QLCGLAX_
20204,04429892,14,0,1,2,D,300,D,,A,,A,,A,,A,,A,,A,,A,150,D,,A
20204,04430432,49,0,1,6,D,900,D,,A,,A,60,D,,A,,A,,A,,A,300,D,,A
20204,04471062,40,0,1,2,D,160,D,,A,,A,,A,,A,,A,,A,,A,90,D,,A
20204,04472082,21,0,1,2,D,,A,40,D,,A,,A,1,D,1,D,1,D,2,D,87,D,,A
20204,04472582,18,0,1,5,D,500,D,,A,,A,,A,,A,,A,,A,,A,900,D,,A
20204,04505702,29,0,1,10,D,1400,D,,A,150,D,,A,,A,,A,,A,,A,200,D,300,D
20204,04506342,55,0,1,5,D,515,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04507352,27,0,1,3,D,300,D,,A,,A,,A,,A,,A,,A,,A,300,D,,A
20204,04511922,10,0,1,2,D,300,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20204,04546921,64,0,1,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,70,D,,A
20204,04547041,35,0,1,1,D,285,F,,A,,A,,A,,A,,A,,A,,A,10,D,,A
20204,04547143,24,0,1,2,D,200,D,50,D,,A,,A,,A,,A,,A,,A,50,D,,A
20204,04551331,26,0,1,10,D,,A,,A,,A,,A,,A,,A,,A,,A,700,D,,A
20204,04551551,18,0,1,3,D,,A,,A,,A,50,D,,A,,A,,A,,A,150,D,,A
20204,04555461,25,0,1,1,D,192,D,,A,,A,,A,,A,,A,,A,,A,,A,55,D
20204,04557271,24,0,1,1,D,110,D,,A,,A,,A,,A,,A,,A,,A,100,F,40,D
20204,04557981,23,0,1,1,D,138,D,14,D,,A,30,D,,A,,A,,A,,A,36,D,,A
20204,04558091,35,0,1,1,D,200,D,,A,,A,80,D,,A,,A,,A,,A,70,D,,A
20204,04560552,20,0,1,14,D,750,D,,A,100,D,,A,,A,,A,,A,,A,200,D,300,D
20204,04564411,20,0,1,2,D,200,D,20,D,,A,,A,,A,,A,,A,,A,80,D,,A
20204,04564611,31,0,1,4,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04565591,12,0,1,10,D,,A,,A,22,D,,A,,A,,A,,A,,A,,A,68,D
20204,04567562,12,0,1,4,D,480,D,,A,,A,,A,,A,,A,,A,,A,250,D,,A
20204,04569221,18,0,1,2,D,200,D,,A,,A,,A,,A,,A,,A,,A,50,D,50,D
20204,04572701,15,0,1,3,D,170,D,,A,,A,,A,,A,,A,,A,,A,40,D,,A
20204,04574911,28,0,1,4,D,480,D,10,D,,A,,A,,A,,A,,A,,A,390,D,,A
20204,04576641,18,0,1,2,D,350,D,,A,,A,,A,,A,,A,,A,,A,450,D,,A
20211,04382384,18,0,1,20,D,700,D,,A,,A,,A,,A,,A,,A,,A,500,D,,A
20211,04386114,21,0,1,3,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20211,04387054,90,0,1,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,80,D,,A
20211,04395204,47,0,1,1,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20211,04403064,999,0,1,2,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20211,04403494,39,0,1,3,D,374,D,,A,,A,,A,,A,,A,,A,,A,120,D,,A
20211,04404234,17,0,1,40,D,4000,D,,A,,A,,A,,A,,A,,A,,A,400,D,120,D
20211,04405304,62,0,1,1,D,,A,,A,,A,,A,,A,,A,,A,,A,58,D,15,D
20211,04406354,25,0,1,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20211,04407434,42,0,1,1,D,175,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20211,04407664,58,0,1,1,D,112,D,,A,,A,,A,,A,,A,,A,,A,35,D,,A
20211,04407664,59,0,1,2,D,134,D,15,D,30,D,,A,,A,,A,,A,,A,65,D,115,D
20211,04407664,60,0,1,1,D,68,D,,A,,A,,A,,A,,A,,A,,A,28,D,,A
20211,04407664,61,0,1,1,D,118,D,,A,,A,,A,,A,,A,,A,,A,44,D,,A
20211,04407664,62,0,1,1,D,82,D,,A,18,D,,A,,A,,A,,A,,A,26,D,5,D
20211,04407734,18,0,1,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,30,D,,A
20211,04408104,27,0,1,4,D,360,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20211,04409684,10,0,1,4,D,450,D,,A,,A,,A,,A,,A,,A,,A,200,D,100,D
20211,04415474,46,0,1,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20211,04424723,31,0,1,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20211,04430433,49,0,1,2,D,,A,,A,,A,,A,,A,,A,,A,,A,100,D,95,F
20211,04465813,47,0,1,2,D,242,D,,A,,A,540,D,,A,,A,,A,,A,300,D,100,D
20211,04468413,32,0,1,2,D,250,D,,A,,A,,A,,A,,A,,A,,A,10,D,,A
20211,04471363,19,0,1,2,D,160,D,,A,,A,,A,,A,,A,,A,,A,20,D,,A
20211,04503024,19,0,1,1,D,105,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20211,04504443,26,0,1,1,D,82,D,,A,,A,,A,,A,,A,,A,,A,70,D,,A
20211,04508633,34,0,1,1,D,,A,,A,,A,,A,,A,,A,,A,,A,15,D,,A
20211,04508923,77,0,1,3,D,300,D,,A,,A,,A,,A,,A,,A,,A,80,D,,A
20211,04509453,43,0,1,1,D,130,D,,A,,A,,A,,A,,A,,A,,A,70,D,,A
20211,04510893,67,0,1,4,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20211,04514163,38,0,1,2,D,350,D,50,D,,A,,A,,A,,A,,A,,A,50,D,,A
20211,04547352,41,0,1,2,D,180,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20211,04547712,46,0,1,1,D,63,D,,A,,A,,A,,A,,A,,A,,A,25,D,,A
20211,04550312,8,0,1,1,D,136,D,30,D,,A,,A,,A,,A,,A,,A,70,D,,A
20211,04560802,12,0,1,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,105,D,95,D
20211,04561482,24,0,1,1,D,155,D,25,D,,A,,A,,A,,A,,A,,A,35,D,,A
20211,04572732,48,0,1,3,D,550,G,,A,,A,,A,2,D,1,D,2,D,2,D,200,D,,A
20211,04573622,33,0,1,6,D,500,D,100,D,,A,,A,,A,,A,,A,,A,400,D,300,D
20211,04574862,14,0,1,12,D,1300,D,15,D,,A,,A,,A,,A,,A,,A,385,D,,A
20211,04576332,15,0,1,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20211,04576642,41,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,70,D,32,D
20211,04578812,26,0,1,2,D,,A,,A,100,D,,A,,A,,A,,A,,A,,A,100,D
20211,04579382,42,0,1,1,D,139,D,,A,,A,,A,,A,,A,,A,,A,70,D,,A
20211,04613221,12,0,1,5,D,2000,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20211,04614501,21,0,1,2,D,400,D,,A,,A,,A,,A,,A,,A,,A,300,D,,A
20211,04617531,17,0,1,6,D,1200,D,,A,,A,,A,,A,,A,,A,,A,1000,D,,A
20211,04618351,22,0,1,4,D,240,D,,A,,A,,A,,A,,A,,A,,A,320,D,,A
20211,04652351,52,0,1,1,D,100,D,,A,30,D,,A,,A,,A,,A,,A,60,D,0,D
20211,04652441,18,0,1,17,D,757,D,,A,,A,,A,,A,,A,,A,,A,160,D,90,D
20211,04658631,35,0,1,5,D,600,D,,A,,A,,A,,A,,A,,A,,A,100,D,200,D
20211,04663331,40,0,1,1,D,325,D,50,D,,A,,A,,A,,A,,A,,A,75,D,,A
20211,04679281,57,0,1,4,D,600,D,,A,15,D,,A,,A,,A,,A,,A,,A,35,D
20211,04680231,24,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20211,04680671,18,0,1,5,D,600,D,50,D,,A,,A,,A,,A,,A,,A,150,D,150,D
20211,04681751,28,0,1,2,D,200,D,50,D,,A,200,D,,A,,A,,A,,A,150,D,100,D
20211,04681841,19,0,1,1,D,290,D,,A,,A,150,D,,A,,A,,A,,A,50,D,,A
20211,04683024,53,0,1,2,D,195,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20211,04685141,41,0,1,1,D,305,G,10,D,,A,95,G,2,D,1,D,1,D,2,D,40,D,,A
20211,04685381,18,0,1,3,D,523,G,6,G,2,G,5,G,,A,,A,,A,,A,8,G,6,G
20211,04686011,18,0,1,2,D,312,D,,A,,A,,A,,A,,A,,A,,A,123,D,,A
20211,04687461,25,0,1,1,D,400,D,37,D,,A,,A,,A,,A,,A,,A,113,D,,A
