QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20203,04298854,38,0,1,420,D,08,D,85,D,,A,,A,,A,,A
20203,04298864,28,0,1,420,D,08,D,57,D,,A,,A,,A,,A
20203,04298944,27,0,1,410,D,08,D,35,D,,A,,A,,A,,A
20203,04299054,32,0,2,400,D,06,D,24,D,,A,,A,,A,,A
20203,04299164,38,0,1,420,D,08,D,75,D,,A,,A,,A,,A
20203,04299174,20,0,1,430,D,06,D,,H,425,D,405,D,415,D,,A
20203,04299174,20,1,1,420,D,06,D,42,E,,A,,A,,A,,A
20203,04299174,20,2,1,405,D,06,D,103,E,,A,,A,,A,,A
20203,04299174,20,3,1,420,D,06,D,135,E,,A,,A,,A,,A
20203,04299204,31,0,1,420,D,06,D,172,D,,A,,A,,A,,A
20203,04299274,38,0,1,410,D,08,D,30,D,,A,,A,,A,,A
20203,04299324,47,0,1,420,D,08,D,500,D,,A,,A,,A,,A
20203,04299364,30,0,1,420,D,08,D,162,D,,A,,A,,A,,A
20203,04310153,22,0,1,420,D,05,D,220,D,,A,,A,,A,,A
20203,04310183,31,0,1,420,D,04,D,300,D,,A,,A,,A,,A
20203,04310303,20,0,1,420,D,05,D,26,D,,A,,A,,A,,A
20203,04310373,34,0,1,430,D,06,D,,H,415,D,410,D,,A,,A
20203,04310373,34,1,1,420,D,06,D,92,E,,A,,A,,A,,A
20203,04310373,34,2,1,410,D,06,D,8,E,,A,,A,,A,,A
20203,04310433,50,0,1,420,D,06,D,100,D,,A,,A,,A,,A
20203,04310573,55,0,2,410,D,04,D,30,D,,A,,A,,A,,A
20203,04310573,56,0,2,430,D,04,D,,H,425,D,415,D,,A,,A
20203,04310573,56,1,2,420,D,04,D,61,E,,A,,A,,A,,A
20203,04310573,57,0,2,405,D,04,D,115,D,,A,,A,,A,,A
20203,04310593,27,0,1,420,D,05,D,139,D,,A,,A,,A,,A
20203,04310663,44,0,1,410,D,05,D,35,D,,A,,A,,A,,A
20203,04310663,45,0,1,410,D,05,D,35,D,,A,,A,,A,,A
20203,04310663,46,0,1,410,D,06,D,35,D,,A,,A,,A,,A
20203,04310663,47,0,1,430,D,05,D,,H,405,D,415,D,,A,,A
20203,04310663,47,1,1,405,D,05,D,322,E,,A,,A,,A,,A
20203,04310663,47,2,1,420,D,05,D,162,E,,A,,A,,A,,A
20203,04310663,48,0,1,430,D,05,D,,H,405,D,415,D,,A,,A
20203,04310663,48,1,1,405,D,05,D,102,E,,A,,A,,A,,A
20203,04310663,48,2,1,420,D,05,D,52,E,,A,,A,,A,,A
20203,04310663,49,0,1,430,D,06,D,,H,405,D,415,D,,A,,A
20203,04310663,49,1,1,405,D,06,D,133,E,,A,,A,,A,,A
20203,04310663,49,2,1,420,D,06,D,67,E,,A,,A,,A,,A
20203,04310863,31,0,1,400,D,06,D,30,D,,A,,A,,A,,A
20203,04311123,39,0,2,420,D,04,D,60,D,,A,,A,,A,,A
20203,04311223,32,0,1,430,D,06,D,,H,415,D,405,D,410,D,,A
20203,04311223,32,1,1,420,D,06,D,29,E,,A,,A,,A,,A
20203,04311223,32,2,1,405,D,06,D,58,E,,A,,A,,A,,A
20203,04311223,32,3,1,410,D,06,D,5,E,,A,,A,,A,,A
20203,04311343,28,0,1,410,D,04,D,7,D,,A,,A,,A,,A
20203,04311343,29,0,1,420,D,04,D,74,D,,A,,A,,A,,A
20203,04311523,32,0,1,400,D,06,D,27,D,,A,,A,,A,,A
20203,04311523,33,0,1,420,D,06,D,68,D,,A,,A,,A,,A
20203,04311533,14,0,1,410,D,05,D,7,D,,A,,A,,A,,A
20203,04311533,15,0,1,420,D,05,D,74,D,,A,,A,,A,,A
20203,04311623,41,0,1,430,D,05,D,,H,405,D,415,D,,A,,A
20203,04311623,41,1,1,420,D,05,D,50,E,,A,,A,,A,,A
20203,04311673,24,0,1,410,D,06,D,25,F,,A,,A,,A,,A
20203,04311693,22,0,2,420,D,04,D,145,D,,A,,A,,A,,A
20203,04311873,41,0,1,420,D,04,D,350,D,,A,,A,,A,,A
20203,04312143,38,0,2,420,D,04,D,78,D,,A,,A,,A,,A
20203,04312243,28,0,1,420,D,05,D,114,D,,A,,A,,A,,A
20203,04312253,46,0,1,420,D,05,D,170,D,,A,,A,,A,,A
20203,04312263,41,0,1,420,D,06,D,76,D,,A,,A,,A,,A
20203,04312313,45,0,1,400,D,04,D,76,D,,A,,A,,A,,A
20203,04312323,31,0,1,420,D,06,D,147,D,,A,,A,,A,,A
20203,04312323,32,0,1,420,D,06,D,14,D,,A,,A,,A,,A
20203,04312323,33,0,1,420,D,06,D,117,D,,A,,A,,A,,A
20203,04312343,70,0,1,420,D,05,D,240,D,,A,,A,,A,,A
20203,04312373,35,0,1,420,D,05,D,164,D,,A,,A,,A,,A
20203,04312623,32,0,1,420,D,05,D,24,D,,A,,A,,A,,A
