QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX,CHCKEFT,CHCKEFT_,REBTUSED,REBT_SED
20203,04278234,2,0,1,170,D,07,D,10,D,,A,,A
20203,04278234,3,0,1,110,D,13,D,360,D,,A,,A
20203,04278234,4,0,1,800,D,05,D,1200,D,2,D,1,D
20203,04278314,1,0,1,800,D,06,D,400,D,3,D,3,D
20203,04278344,2,0,1,800,D,06,D,2900,D,2,D,1,D
20203,04278354,4,0,1,160,D,13,D,300,D,,A,,A
20203,04278354,5,0,1,800,D,05,D,2400,D,1,D,1,D
20203,04278364,3,0,1,800,D,05,D,3400,D,2,D,2,D
20203,04278394,1,0,1,800,D,05,D,1200,D,1,D,3,D
20203,04278414,6,0,1,170,D,06,D,50,D,,A,,A
20203,04278414,7,0,1,800,D,07,D,3400,D,3,D,1,D
20203,04278424,3,0,1,800,D,05,D,2400,D,2,D,1,D
20203,04278434,4,0,1,800,D,05,D,3600,D,2,D,1,D
20203,04278514,4,0,1,800,D,05,D,2200,D,2,D,1,D
20203,04278524,1,0,1,800,D,06,D,4800,D,2,D,1,D
20203,04278594,1,0,1,800,D,06,D,2400,D,2,D,2,D
20203,04278604,5,0,1,170,D,07,D,10000,D,,A,,A
20203,04278604,6,0,1,150,D,06,D,1500,D,,A,,A
20203,04278604,7,0,1,150,D,07,D,2000,D,,A,,A
20203,04278604,8,0,1,150,D,05,D,5000,D,,A,,A
20203,04278604,9,0,1,150,D,06,D,2000,D,,A,,A
20203,04278654,5,0,1,130,D,05,D,100,D,,A,,A
20203,04278654,6,0,1,160,D,06,D,34,D,,A,,A
20203,04278654,7,0,1,160,D,13,D,10,D,,A,,A
20203,04278654,8,0,1,800,D,05,D,3400,D,2,D,3,D
20203,04278684,3,0,1,140,D,13,D,10,D,,A,,A
20203,04278684,4,0,1,160,D,13,D,30,D,,A,,A
20203,04278684,5,0,1,800,D,06,D,1200,D,2,D,2,D
20203,04278684,6,0,2,170,D,05,D,100,D,,A,,A
20203,04278704,4,0,1,150,D,13,D,140,D,,A,,A
20203,04278704,5,0,1,800,D,06,D,3400,D,2,D,2,D
20203,04278724,15,0,1,800,D,05,D,1200,D,2,D,2,D
20203,04278724,16,0,1,800,D,05,D,1200,D,2,D,2,D
20203,04278724,17,0,1,800,D,05,D,500,D,2,D,2,D
20203,04278724,18,0,1,800,D,05,D,500,D,2,D,2,D
20203,04278734,4,0,1,800,D,05,D,1200,D,1,D,1,D
20203,04278774,1,0,1,800,D,05,D,1200,D,2,D,3,D
20203,04278784,2,0,1,800,D,06,D,2400,D,2,D,1,D
20203,04278794,1,0,1,160,D,13,D,100,D,,A,,A
20203,04278894,1,0,1,170,D,07,D,75,D,,A,,A
20203,04278914,3,0,1,150,D,13,D,175,D,,A,,A
20203,04278934,1,0,1,150,D,13,D,1300,D,,A,,A
20203,04278934,2,0,1,160,D,13,D,120,D,,A,,A
20203,04278934,3,0,1,160,D,07,D,307,F,,A,,A
20203,04279004,4,0,1,170,D,07,D,10,D,,A,,A
20203,04279004,5,0,1,160,D,13,D,10,D,,A,,A
20203,04279024,9,0,1,150,D,13,D,360,D,,A,,A
20203,04279024,10,0,1,800,D,05,D,2191,F,2,D,1,D
20203,04279034,5,0,1,800,D,05,D,1200,D,2,D,1,D
20203,04279034,6,0,1,800,D,05,D,1200,D,2,D,1,D
20203,04279064,3,0,1,150,D,05,D,180,D,,A,,A
20203,04279064,4,0,1,800,D,07,D,2400,D,3,D,2,D
20203,04279074,3,0,1,800,D,05,D,1200,D,2,D,1,D
20203,04279094,3,0,1,800,D,05,D,1200,D,1,D,1,D
20203,04279164,5,0,1,170,D,05,D,100,D,,A,,A
20203,04279164,6,0,1,130,D,05,D,5000,D,,A,,A
20203,04279164,7,0,1,140,D,06,D,250,D,,A,,A
20203,04279164,8,0,1,160,D,05,D,100,D,,A,,A
20203,04279164,9,0,1,160,D,06,D,100,D,,A,,A
20203,04279164,10,0,1,160,D,05,D,250,D,,A,,A
20203,04279164,11,0,1,160,D,06,D,100,D,,A,,A
20203,04279164,12,0,1,160,D,05,D,50,D,,A,,A
20203,04279164,13,0,1,160,D,06,D,1000,D,,A,,A
