QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,APPRPB9_
20202,04223044,9,0,1,200,D,03,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223044,10,0,1,190,D,03,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223344,3,0,1,190,D,02,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223344,4,0,1,190,D,03,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223344,5,0,2,210,D,01,D,,H,210,D,190,D,,A,,A,,A,,A,,A,,A,,A
20202,04223344,5,1,2,190,D,01,D,3,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223674,3,0,1,200,D,01,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223674,4,0,1,200,D,02,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223674,5,0,1,200,D,03,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223834,9,0,1,130,D,03,D,158,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224004,10,0,1,110,D,01,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224464,1,0,1,110,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224664,2,0,1,200,D,01,D,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224664,3,0,1,200,D,02,D,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224664,4,0,1,200,D,03,D,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224664,5,0,2,200,D,01,D,33,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224794,2,0,1,120,D,01,D,31,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225164,3,0,1,200,D,01,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225164,4,0,1,200,D,02,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225164,5,0,1,200,D,03,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225164,6,0,2,200,D,01,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225324,7,0,1,190,D,01,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225324,8,0,1,190,D,02,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225324,9,0,1,190,D,03,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225804,5,0,1,190,D,03,D,58,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226104,11,0,1,200,D,02,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226104,12,0,1,200,D,03,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226104,13,0,1,200,D,04,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226144,6,0,1,110,D,03,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226324,2,0,1,190,D,03,D,134,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226494,1,0,2,190,D,02,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227084,4,0,2,190,D,02,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227484,6,0,1,200,D,03,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227724,8,0,1,190,D,04,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227874,4,0,1,190,D,04,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227884,8,0,1,190,D,03,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227944,8,0,1,190,D,03,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227944,9,0,2,190,D,02,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228174,2,0,1,190,D,04,D,145,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228354,6,0,1,210,D,02,D,,H,110,D,130,D,200,D,100,D,,A,,A,,A,,A,,A
20202,04228354,6,1,1,110,D,02,D,114,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228354,6,2,1,130,D,02,D,169,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228354,6,3,1,200,D,02,D,83,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228354,6,4,1,100,D,02,D,309,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228434,3,0,1,190,D,04,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228514,2,0,1,100,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228634,3,0,1,130,D,03,D,245,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228664,11,0,1,190,D,04,D,109,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228664,12,0,1,140,D,04,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228804,5,0,1,110,D,03,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228864,12,0,1,200,D,03,D,192,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229134,3,0,1,190,D,04,D,373,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229154,3,0,1,130,D,04,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229514,2,0,1,100,D,03,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229554,2,0,1,190,D,04,D,33,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229664,5,0,1,110,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229674,11,0,1,130,D,04,D,318,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229904,9,0,1,110,D,03,D,345,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230514,4,0,1,210,D,02,D,,H,210,D,110,D,,A,,A,,A,,A,,A,,A,,A
20202,04230514,4,1,1,110,D,02,D,13,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230514,4,2,1,150,D,02,D,6,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230514,4,3,1,220,D,02,D,6,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230594,8,0,1,190,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230594,9,0,1,190,D,04,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230594,10,0,2,190,D,02,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230624,3,0,1,190,D,04,D,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230814,9,0,1,190,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230814,10,0,2,190,D,02,D,73,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04231224,3,0,1,220,D,03,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04231234,9,0,1,130,D,04,D,19,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04231264,10,0,1,200,D,04,D,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04232044,3,0,1,220,D,03,D,97,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04232124,10,0,1,110,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04232124,11,0,1,110,D,04,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04232124,12,0,2,110,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04232474,13,0,1,190,D,04,D,53,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04232494,7,0,1,130,D,02,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04232494,8,0,1,130,D,03,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04232494,9,0,1,130,D,04,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04232814,2,0,1,120,D,02,D,299,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04232854,11,0,1,190,D,03,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233084,8,0,1,190,D,03,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233404,5,0,1,100,D,03,D,216,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233634,13,0,1,110,D,02,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233634,14,0,1,110,D,03,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233634,15,0,1,110,D,04,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233674,1,0,1,110,D,02,D,71,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233674,2,0,1,110,D,03,D,71,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233674,3,0,1,110,D,04,D,71,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233804,4,0,1,200,D,03,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233834,2,0,1,190,D,02,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233834,3,0,1,190,D,03,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233834,4,0,1,190,D,04,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233874,12,0,1,200,D,02,D,61,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233874,13,0,1,200,D,03,D,61,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04233874,14,0,1,200,D,04,D,61,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04234054,5,0,1,100,D,02,D,218,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04234184,6,0,1,110,D,03,D,82,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04234754,6,0,1,130,D,04,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04234774,3,0,1,110,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04234894,1,0,1,200,D,02,D,234,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235094,14,0,1,130,D,04,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235134,1,0,1,200,D,02,D,39,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235134,2,0,1,200,D,03,D,39,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235134,3,0,1,200,D,04,D,39,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235134,4,0,2,200,D,02,D,39,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235444,3,0,1,190,D,02,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235444,4,0,1,200,D,02,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235444,5,0,1,130,D,03,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235844,14,0,1,190,D,04,D,129,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04235964,16,0,1,200,D,04,D,213,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04236124,8,0,1,210,D,03,D,,H,200,D,110,D,,A,,A,,A,,A,,A,,A,,A
20202,04236124,8,1,1,200,D,03,D,14,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04236124,8,2,1,110,D,03,D,17,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04236124,9,0,1,210,D,04,D,,H,200,D,110,D,,A,,A,,A,,A,,A,,A,,A
20202,04236124,9,1,1,200,D,04,D,13,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04236124,9,2,1,110,D,04,D,18,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04236124,10,0,1,210,D,05,D,,H,200,D,110,D,,A,,A,,A,,A,,A,,A,,A
20202,04236124,10,1,1,200,D,05,D,13,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04236124,10,2,1,110,D,05,D,18,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04236294,2,0,1,190,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04236464,9,0,1,200,D,04,D,46,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04236464,10,0,1,200,D,05,D,46,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04236464,11,0,2,200,D,03,D,46,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04236524,5,0,1,110,D,05,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04236834,4,0,1,200,D,05,D,389,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04237294,6,0,1,110,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04237294,7,0,1,110,D,04,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04237294,8,0,1,110,D,05,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04237694,6,0,1,190,D,05,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04237824,10,0,1,200,D,04,D,415,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04237824,11,0,1,190,D,05,D,210,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238324,8,0,1,200,D,03,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238354,14,0,1,190,D,04,D,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238364,5,0,1,190,D,05,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238364,560,0,1,190,D,03,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238364,561,0,1,190,D,04,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238494,5,0,1,190,D,03,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238584,15,0,1,190,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238584,16,0,1,190,D,04,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238584,17,0,1,190,D,05,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238584,18,0,2,190,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238694,7,0,1,190,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238694,8,0,1,130,D,03,D,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238694,9,0,1,130,D,05,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238694,10,0,1,200,D,03,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238694,11,0,1,200,D,04,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238694,12,0,1,200,D,05,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238694,13,0,1,200,D,03,D,42,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238694,14,0,1,200,D,04,D,42,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238744,3,0,1,110,D,04,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04238834,6,0,1,200,D,05,D,143,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04239074,4,0,1,190,D,05,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04239254,22,0,1,130,D,05,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04239634,5,0,1,170,D,03,D,101,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04239634,6,0,2,170,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04239724,3,0,1,190,D,05,D,172,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04239744,2,0,1,130,D,03,D,275,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04239834,10,0,1,200,D,05,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04240534,5,0,1,100,D,05,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04240544,5,0,1,190,D,05,D,514,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04240544,6,0,1,200,D,05,D,189,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04240984,4,0,1,130,D,04,D,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04241104,550,0,1,115,D,03,D,,H,100,D,110,D,,A,,A,,A,,A,,A,,A,,A
20202,04241104,550,1,1,100,D,03,D,194,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04241104,550,2,1,110,D,03,D,71,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04241124,10,0,1,200,D,05,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04241234,9,0,1,190,D,04,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04241554,5,0,1,200,D,04,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04241714,5,0,1,220,D,04,D,49,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04242544,2,0,1,190,D,03,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04242874,7,0,1,200,D,03,D,144,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04243304,4,0,1,190,D,03,D,127,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04243304,5,0,1,110,D,03,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04243304,6,0,1,200,D,05,D,484,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04243624,5,0,1,190,D,03,D,461,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04243634,17,0,1,190,D,05,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04243694,11,0,1,200,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04243694,12,0,1,200,D,04,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04243694,13,0,1,200,D,05,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04243984,5,0,2,110,D,03,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04244054,8,0,1,130,D,03,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04244054,9,0,1,200,D,03,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04244054,10,0,1,200,D,04,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04244054,11,0,1,200,D,05,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04244584,9,0,1,190,D,03,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04244984,4,0,1,200,D,03,D,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04245044,15,0,1,150,D,04,D,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04245104,6,0,1,190,D,05,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04246044,9,0,1,190,D,05,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04246124,7,0,1,110,D,04,D,145,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04246304,18,0,1,200,D,04,D,360,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04246304,19,0,2,190,D,03,D,59,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04246504,18,0,1,140,D,05,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04267103,6,0,1,130,D,02,D,88,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04267403,7,0,1,220,D,01,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04267403,8,0,1,220,D,02,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04267403,9,0,1,220,D,03,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04267503,5,0,1,190,D,02,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04267823,12,0,1,110,D,01,D,53,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04267823,13,0,1,110,D,02,D,53,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04267823,14,0,1,110,D,03,D,53,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04268223,5,0,1,130,D,03,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
