QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20202,04216114,20,0,1,620,D,1,D,13,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216194,18,0,1,110,D,1,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216194,19,0,1,620,D,1,D,02,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216204,16,0,1,120,D,1,D,02,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216204,17,0,1,120,D,1,D,03,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216214,17,0,1,620,D,1,D,13,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216244,13,0,1,620,D,1,D,02,D,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216244,14,0,2,420,D,1,D,01,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216294,8,0,1,620,D,1,D,13,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216364,12,0,1,420,D,1,D,03,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216364,13,0,1,620,D,1,D,03,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216434,12,0,1,420,D,1,D,02,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216434,13,0,1,620,D,1,D,01,D,62,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216434,14,0,1,620,D,1,D,02,D,61,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216434,15,0,1,620,D,1,D,03,D,62,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216464,16,0,1,420,D,1,D,02,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216514,13,0,1,620,D,1,D,01,D,119,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216514,14,0,1,655,D,1,D,01,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20202,04216544,17,0,1,200,D,1,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216544,18,0,1,110,D,1,D,02,D,342,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216544,19,0,1,420,D,1,D,01,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216544,20,0,1,620,D,1,D,13,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216604,16,0,1,410,D,1,D,01,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20202,04216684,11,0,1,420,D,1,D,01,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216684,12,0,1,420,D,1,D,02,D,167,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216684,13,0,1,420,D,1,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216684,14,0,1,420,D,1,D,02,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216744,18,0,1,430,D,1,D,03,D,,H,420,D,330,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216744,18,1,1,420,D,1,D,03,D,86,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216744,18,2,1,330,D,1,D,03,D,514,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216744,19,0,1,620,D,1,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216754,13,0,1,330,D,1,D,01,D,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216754,14,0,1,330,D,1,D,02,D,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216754,15,0,1,330,D,1,D,03,D,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216754,16,0,1,620,D,1,D,01,D,236,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216754,17,0,1,620,D,1,D,02,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216754,18,0,1,620,D,1,D,03,D,245,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216754,19,0,2,330,D,1,D,01,D,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216764,39,0,1,110,D,1,D,03,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216764,40,0,1,120,D,1,D,03,D,490,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216804,27,0,1,430,D,2,D,03,D,,H,420,D,330,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216804,27,1,1,420,D,2,D,03,D,143,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216804,27,2,1,330,D,2,D,03,D,857,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216804,28,0,1,120,D,2,D,03,D,675,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216804,29,0,1,420,D,1,D,03,D,39,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216814,11,0,1,200,D,1,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216814,12,0,1,510,D,1,D,03,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216814,13,0,1,620,D,1,D,03,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216874,17,0,1,330,D,1,D,01,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216924,15,0,1,620,D,1,D,13,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216934,11,0,1,620,D,1,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216934,12,0,2,110,D,1,D,01,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216964,16,0,1,200,D,1,D,03,D,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216964,17,0,1,200,D,1,D,02,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216964,18,0,2,510,D,1,D,01,D,106,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216964,19,0,2,620,D,1,D,01,D,106,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216984,18,0,1,200,D,1,D,01,D,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217014,18,0,2,200,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217034,12,0,1,420,D,1,D,02,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217034,13,0,1,420,D,1,D,02,D,58,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217034,14,0,1,620,D,1,D,13,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217034,15,0,1,620,D,1,D,03,D,53,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217064,34,0,1,900,D,1,D,02,D,,H,900,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217064,34,1,1,120,D,1,D,02,D,102,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217064,34,2,1,200,D,1,D,02,D,128,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217064,34,3,1,410,D,1,D,02,D,64,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217064,34,4,1,420,D,1,D,02,D,32,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217064,34,5,1,510,D,1,D,02,D,51,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217064,34,6,1,620,D,1,D,02,D,23,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217114,12,0,1,110,D,1,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217114,13,0,1,620,D,1,D,13,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217194,10,0,1,620,D,1,D,02,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217234,13,0,1,200,D,1,D,02,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217264,17,0,1,420,D,1,D,01,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217264,18,0,1,330,D,1,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217264,19,0,1,330,D,1,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
