QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_
20202,04215304,23,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,120,D,120,D,120,D,,A,1,D
20202,04215314,23,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,108,D,108,D,108,D,,A,1,D
20202,04215314,24,0,1,,A,,A,,A,1,D,2,D,,A,70,D,70,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04215314,25,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,70,D,70,D,70,D,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04215344,38,0,1,,A,1,D,,A,1,D,1,D,,A,52,E,60,E,60,E,84,E,72,E,72,E,33,E,37,E,37,E,,A,,A,,A,2,D,1,D
20202,04215354,45,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,110,D,110,D,,A,1,D
20202,04215354,46,0,1,,A,,A,,A,1,D,2,D,,A,55,D,55,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04215364,11,0,1,,A,,A,,A,1,D,2,D,,A,80,D,80,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04215374,39,0,1,,A,,A,,A,1,D,1,D,,A,79,E,79,E,79,E,121,E,121,E,121,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20202,04215374,40,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,250,D,250,D,250,D,,A,1,D
20202,04215384,14,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,30,D,30,D,,A,1,D
20202,04215414,12,0,1,,A,1,D,,A,1,D,1,D,,A,41,E,39,E,41,E,63,E,63,E,63,E,42,E,44,E,42,E,,A,,A,,A,2,D,1,D
20202,04215424,64,0,1,,A,,A,2,D,1,D,1,D,,A,40,D,40,D,40,D,108,D,108,D,108,D,,A,,A,,A,105,D,105,D,105,D,1,D,1,D
20202,04215424,65,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,123,D,123,D,123,D,,A,1,D
20202,04215444,29,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,280,D,280,D,280,D,,A,1,D
20202,04215444,30,0,1,,A,,A,,A,1,D,2,D,,A,85,D,85,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04215454,6,0,1,,A,,A,2,D,1,D,1,D,,A,9,E,8,E,9,E,13,E,13,E,13,E,,A,,A,,A,8,E,9,E,8,E,2,D,1,D
20202,04215454,7,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,30,D,30,D,,A,1,D
20202,04215474,15,0,1,,A,1,D,,A,1,D,1,D,,A,62,E,62,E,62,E,102,E,102,E,103,E,36,E,36,E,35,E,,A,,A,,A,2,D,1,D
20202,04215474,16,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,140,D,140,D,140,D,,A,1,D
20202,04215484,13,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,133,D,133,D,133,D,,A,,A,,A,,A,1,D
20202,04215484,14,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,115,D,115,D,115,D,,A,1,D
20202,04215484,15,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,135,D,135,D,135,D,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04215494,14,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,100,D,100,D,,A,1,D
20202,04215494,15,0,1,,A,,A,,A,1,D,2,D,,A,130,D,130,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04215534,30,0,1,,A,1,D,,A,1,D,1,D,,A,55,E,55,E,58,E,93,E,94,E,96,E,64,E,63,E,65,E,,A,,A,,A,2,D,1,D
20202,04215544,44,0,1,,A,,A,,A,1,D,2,D,,A,75,D,75,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04215544,45,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D,200,D,200,D,,A,1,D
20202,04215674,14,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,70,D,70,D,70,D,,A,1,D
20202,04215674,15,0,1,,A,,A,,A,1,D,1,D,,A,47,E,45,E,46,E,83,E,85,E,84,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20202,04215724,26,0,1,,A,,A,,A,1,D,1,D,,A,16,E,16,E,16,E,38,E,38,E,38,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20202,04215724,27,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,69,D,69,D,69,D,,A,1,D
20202,04215764,28,0,1,,A,1,D,,A,1,D,1,D,,A,33,E,30,E,35,E,56,E,58,E,62,E,23,E,24,E,24,E,,A,,A,,A,1,D,1,D
20202,04215764,29,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,5,D,5,D,5,D,,A,1,D
20202,04215794,24,0,1,,A,1,D,,A,1,D,1,D,,A,31,E,32,E,31,E,73,E,73,E,74,E,35,E,34,E,34,E,,A,,A,,A,2,D,1,D
20202,04215794,25,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,57,D,57,D,57,D,,A,1,D
20202,04215804,26,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,70,D,70,D,70,D,,A,,A,,A,,A,1,D
20202,04215804,27,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,70,D,70,D,70,D,,A,1,D
20202,04215814,14,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,94,D,150,D,150,D,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04215824,20,0,1,,A,,A,,A,1,D,1,D,,A,40,E,40,E,40,E,70,E,70,E,70,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20202,04215824,21,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,93,D,93,D,93,D,,A,1,D
20202,04215874,21,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,124,D,124,D,124,D,,A,1,D
20202,04215884,25,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,35,D,35,D,35,D,,A,1,D
20202,04215884,26,0,1,,A,,A,,A,1,D,2,D,,A,45,D,45,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04215904,28,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,285,D,315,D,300,D,,A,1,D
20202,04215904,29,0,1,,A,,A,,A,1,D,2,D,1,D,0,D,0,D,0,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04215914,32,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,160,D,160,D,160,D,,A,1,D
20202,04215914,33,0,1,,A,,A,,A,1,D,1,D,,A,55,E,55,E,55,E,85,E,85,E,85,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20202,04215924,16,0,1,,A,,A,,A,1,D,2,D,,A,65,D,65,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04215924,17,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,65,D,65,D,65,D,,A,1,D
20202,04215924,18,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,30,D,30,D,,A,1,D
20202,04215924,19,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,,A,1,D
20202,04215964,15,0,1,,A,1,D,,A,1,D,1,D,,A,34,E,35,E,35,E,58,E,58,E,58,E,40,E,39,E,39,E,,A,,A,,A,2,D,1,D
20202,04215974,16,0,1,,A,,A,2,D,1,D,2,D,,A,114,E,114,E,115,E,,A,,A,,A,,A,,A,,A,236,E,236,E,235,E,2,D,1,D
20202,04215974,17,0,1,,A,,A,,A,1,D,1,D,,A,33,E,33,E,33,E,67,E,67,E,67,E,,A,,A,,A,,A,,A,,A,2,D,2,D
