QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISCDE9_
20202,04215424,28,0,1,140,D,01,D,2,D,46,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,29,0,1,380,D,03,D,1,D,209,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,30,0,1,170,D,13,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,31,0,1,330,D,01,D,2,D,18,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,32,0,1,330,D,02,D,2,D,41,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,33,0,1,250,D,03,D,1,D,84,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,34,0,1,240,D,03,D,1,D,34,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,35,0,1,260,D,03,D,1,D,18,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,36,0,1,260,D,01,D,1,D,276,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,37,0,1,260,D,02,D,1,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,38,0,1,250,D,01,D,1,D,570,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215424,39,0,1,250,D,02,D,1,D,610,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215444,11,0,1,170,D,13,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215444,12,0,1,210,D,01,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215444,13,0,1,210,D,02,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215444,14,0,1,210,D,03,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215444,15,0,2,210,D,01,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215484,7,0,1,170,D,03,D,1,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215534,18,0,1,260,D,01,D,1,D,186,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215534,19,0,1,260,D,02,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215534,20,0,1,260,D,03,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215544,28,0,1,330,D,02,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215544,29,0,1,340,D,03,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215544,30,0,1,420,D,01,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215674,8,0,1,260,D,03,D,1,D,105,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215724,20,0,1,370,D,13,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
