QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20204,04514272,18,0,5,01,D,100,D,.0400,D,117600,D,15,D,887,D,,B,,B,,B,,B,17,D,537,D,539,D,541,D,333,D,331,D,329,D,,A,10,D,2017,D,1,D,,A,99886,D,99349,D,98810,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20204,04552331,14,0,1,01,D,100,D,.0500,F,98986,F,16,F,750,F,,A,,A,,A,,A,0,F,558,F,561,F,563,F,192,F,189,F,187,F,,A,06,F,2010,F,1,F,,A,46013,F,45455,F,44894,F,01,D,,A,2,D,,A,,A,,A,,A,1,D,2,D
20204,04552744,19,0,1,02,D,200,D,.0472,D,15649,D,6,D,250,D,,A,,A,,A,,A,0,D,196,D,197,D,198,D,54,D,53,D,52,D,,A,09,D,2019,D,1,D,,A,13731,D,13535,D,13338,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20204,04553741,13,0,1,01,D,100,D,.0529,F,155000,F,15,F,1397,F,3,F,,A,,A,,A,148,F,640,F,643,F,646,F,609,F,606,F,603,F,,A,04,F,2018,F,1,F,,A,138180,F,137541,F,136898,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20204,04557781,17,0,1,01,D,100,D,.0600,D,9652,D,7,D,141,D,,A,,A,,A,,A,0,D,105,D,106,D,106,D,36,D,35,D,35,D,,A,07,D,2018,D,1,D,,A,7189,D,7084,D,6978,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20204,04558821,15,0,1,01,D,100,D,,C,,C,5,D,,A,,C,,C,,C,,C,,B,,A,,A,,A,,A,,A,,A,,A,12,D,2020,D,2,D,,A,,A,,A,,A,01,D,1,D,,A,,A,0,D,0,D,0,D,,C,,A
20204,04563311,7,0,1,01,D,100,D,.0460,F,85831,F,15,F,661,F,,A,,A,,A,,A,0,F,427,F,429,F,431,F,176,F,174,F,173,F,,A,01,F,2015,F,1,F,,A,60953,F,60526,F,60097,F,01,D,1,D,,A,,A,,A,,A,,A,1,D,2,D
20204,04570931,30,0,1,01,D,100,D,.0402,D,60000,D,4,D,1800,D,3,D,4,D,,A,,A,445,D,2024,T,2032,T,2275,T,189,D,185,D,182,D,,A,06,D,2020,D,1,D,,A,56526,D,55361,D,54191,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20204,04571451,21,0,1,01,D,100,D,.0440,D,74769,D,20,D,469,D,,A,,A,,A,,A,0,D,231,D,232,D,233,D,238,D,237,D,236,D,,A,10,D,2016,D,1,D,,A,64795,D,64563,D,64331,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20204,04572211,27,0,1,01,D,100,D,.0521,F,100000,F,10,F,1200,F,,B,,B,,B,,B,129,F,2024,V,2032,V,2275,V,67,F,63,F,59,F,,A,12,F,2011,F,1,F,,A,15513,F,14509,F,13501,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20204,04576551,20,0,1,01,D,100,D,.0460,D,25000,D,10,D,260,D,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,07,D,2015,D,2,D,,A,13514,D,13305,D,13096,D,01,D,1,D,,A,,A,40,D,40,D,40,D,1,D,2,D
20204,04576601,15,0,1,01,D,100,D,.0472,D,17996,D,20,D,116,D,,A,,A,,A,,A,0,D,45,D,46,D,46,D,71,D,70,D,70,D,,A,08,D,2020,D,1,D,,A,17951,D,17905,D,17860,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20204,04576731,12,0,1,01,D,100,D,.0521,D,100000,D,10,D,1200,D,,B,,B,,B,,B,129,D,2024,T,2032,T,2275,T,67,D,63,D,59,D,,A,12,D,2011,D,1,D,,A,15513,D,14509,D,13501,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20204,04577141,26,0,1,01,D,100,D,.0849,D,35000,D,20,D,304,D,,A,,A,,A,,A,0,D,,A,,A,56,D,,A,,A,248,D,,A,11,D,2020,D,1,D,,A,,A,,A,35000,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04386154,15,0,5,01,D,100,D,.0482,D,13214,D,10,D,139,D,,A,,A,,A,,A,0,D,92,D,92,D,92,D,47,D,47,D,47,D,,A,06,D,2019,D,1,D,,A,11797,D,11705,D,11613,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04386894,28,0,5,01,D,100,D,.0400,F,60000,F,15,F,500,F,,B,,B,,B,,B,56,F,252,F,253,F,254,F,192,F,191,F,190,F,,A,02,F,2020,F,1,F,,A,57523,F,57271,F,57018,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04390384,43,0,5,02,D,300,D,.0700,D,,T,20,D,1257,D,3,D,4,D,5,D,,A,327,D,596,T,599,T,602,T,145,D,141,D,136,D,,A,03,D,2003,D,1,D,102020,D,24904,D,24119,D,23330,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04393204,24,0,5,01,D,100,D,.0500,D,40000,D,15,D,332,D,,B,,B,,B,,B,16,D,167,D,168,D,168,D,149,D,148,D,148,D,,A,08,D,2018,D,1,D,,A,35742,D,35575,D,35407,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04393994,22,0,5,01,D,100,D,.0450,D,49555,D,17,D,348,D,,A,,A,,A,,A,0,D,256,D,257,D,258,D,92,D,91,D,90,D,,A,09,D,2010,D,1,D,,A,24526,D,24270,D,24013,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04394544,43,0,5,01,D,100,D,.0460,D,11813,D,10,D,123,D,,A,,A,,A,,A,0,D,100,D,100,D,100,D,23,D,23,D,23,D,,A,06,D,2015,D,1,D,,A,6089,D,5989,D,5889,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04395494,24,0,5,01,D,100,D,.0472,D,28653,D,10,D,300,D,,A,,A,,A,,A,0,D,192,D,193,D,193,D,108,D,107,D,107,D,,A,05,D,2020,D,1,D,,A,27518,D,27326,D,27134,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04402404,26,0,5,01,D,100,D,.0472,D,38204,D,10,D,400,D,,A,,A,,A,,A,0,D,252,D,253,D,254,D,148,D,147,D,146,D,,A,09,D,2020,D,1,D,,A,37704,D,37452,D,37199,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04404084,24,0,5,01,D,100,D,.0529,D,155000,D,15,D,1397,D,3,D,,A,,A,,A,148,D,648,D,651,D,654,D,601,D,598,D,595,D,,A,04,D,2018,D,1,D,,A,136252,D,135604,D,134953,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04404224,29,0,5,01,D,100,D,.0521,F,100000,F,10,F,1200,F,,B,,B,,B,,B,129,F,2024,V,2032,V,2275,V,54,F,50,F,45,F,,A,12,F,2011,F,1,F,,A,12489,F,11472,F,10451,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04408074,22,0,5,01,D,100,D,.0400,D,50000,D,10,D,527,D,,B,,B,,B,,B,21,D,352,D,353,D,354,D,154,D,153,D,152,D,,A,01,D,2020,D,1,D,,A,46204,D,45853,D,45499,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
