QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20204,04424552,1,0,1,140,D,1,D,07,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04424572,1,0,1,195,D,1,D,07,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04424572,2,0,1,195,D,1,D,07,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04424962,1,0,1,140,D,1,D,09,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04425202,1,0,1,140,D,1,D,09,D,354,D,,A,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04425902,1,0,1,140,D,1,D,09,D,541,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04427192,1,0,1,195,D,1,D,07,D,1800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04427432,1,0,1,160,D,1,D,09,D,1089,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04427502,1,0,2,195,D,1,D,07,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04427572,1,0,1,120,D,1,D,08,D,217,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04427572,2,0,1,195,D,1,D,07,D,4200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04428032,1,0,1,120,D,1,D,09,D,214,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04428222,1,0,1,100,D,1,D,07,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04428672,1,0,1,100,D,1,D,07,D,589,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04428732,1,0,1,120,D,1,D,07,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04428922,1,0,1,140,D,1,D,09,D,1398,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04429382,1,0,1,120,D,1,D,09,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04430072,1,0,1,120,D,1,D,08,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04430072,2,0,1,140,D,1,D,08,D,127,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04430082,1,0,1,160,D,1,D,07,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04430302,1,0,1,140,D,1,D,08,D,322,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04430332,1,0,1,195,D,1,D,08,D,579,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
