QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FURNPURY,FURN_URY,FURNMO,FURNMO_,FURNGFTC,FURN_FTC,FURNPURX,FURN_URX,FRNPRY1,FRNPRY1_,FRNPRY2,FRNPRY2_,FRNPRY3,FRNPRY3_,FRNPRY4,FRNPRY4_,FRNPRY5,FRNPRY5_,FRNPRY6,FRNPRY6_,FRNPRY7,FRNPRY7_,FRNPRY8,FRNPRY8_,FRNPRY9,FRNPRY9_
20202,04217064,12,0,1,206,D,03,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217064,13,0,1,212,D,03,D,1,D,1314,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217134,3,0,1,180,D,01,D,1,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217134,4,0,1,192,D,01,D,1,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217134,5,0,1,199,D,01,D,1,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217264,8,0,1,150,D,01,D,1,D,1300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217294,12,0,1,171,D,03,D,1,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217314,5,0,1,180,D,01,D,1,D,320,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217314,6,0,2,180,D,01,D,1,D,267,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217374,5,0,1,200,D,02,D,2,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217404,6,0,1,100,D,03,D,1,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217404,7,0,1,121,D,03,D,1,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217404,8,0,1,181,D,02,D,1,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217404,9,0,1,199,D,03,D,1,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217404,10,0,1,199,D,03,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217404,11,0,1,206,D,03,D,1,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217404,12,0,1,212,D,02,D,1,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217424,3,0,1,200,D,03,D,1,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217424,4,0,1,214,D,02,D,1,D,108,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217514,6,0,1,140,D,02,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217724,3,0,1,106,D,03,D,1,D,,H,100,D,101,D,107,D,,A,,A,,A,,A,,A,,A
20202,04217724,3,1,1,100,D,03,D,1,D,627,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217724,3,2,1,101,D,03,D,1,D,443,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217724,3,3,1,107,D,03,D,1,D,130,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217724,4,0,1,106,D,03,D,1,D,,H,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217724,4,1,1,102,D,03,D,1,D,112,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217724,4,2,1,107,D,03,D,1,D,88,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
