QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMYUPD,NUMYUPD_,TOTYUPDX,TOTY_PDX,TOTYUPDY,TOTY_PDY
20202,04289303,21,0,1,1,D,,H,,A
20202,04289303,21,1,1,,A,82,E,100,D
20202,04289303,21,2,1,,A,18,E,110,D
20202,04292993,36,0,1,1,D,,H,,A
20202,04292993,36,1,1,,A,500,E,130,D
20202,04293923,39,0,1,1,D,,H,,A
20202,04293923,39,1,1,,A,36,E,100,D
20202,04293923,39,2,1,,A,13,E,110,D
20202,04293923,39,3,1,,A,17,E,120,D
20202,04293923,39,4,1,,A,74,E,130,D
20202,04293923,39,5,1,,A,196,E,150,D
20202,04293923,39,6,1,,A,37,E,180,D
20202,04293923,39,7,1,,A,27,E,190,D
20202,04296893,26,0,1,1,D,,H,,A
20202,04296893,26,1,1,,A,80,E,100,D
20202,04296893,26,2,1,,A,28,E,110,D
20202,04296893,26,3,1,,A,36,E,120,D
20202,04296893,26,4,1,,A,418,E,150,D
20202,04296893,26,5,1,,A,80,E,180,D
20202,04296893,26,6,1,,A,58,E,190,D
20202,04297833,47,0,1,1,D,,H,,A
20202,04297833,47,1,1,,A,653,E,100,D
20202,04297833,47,2,1,,A,328,E,110,D
20202,04297833,47,3,1,,A,1019,E,210,D
20202,04311042,34,0,1,2,D,,H,,A
20202,04311042,34,1,1,,A,4,E,210,D
20202,04311042,34,2,1,,A,3,E,220,D
20202,04312742,17,0,1,1,D,,H,,A
20202,04312742,17,1,1,,A,194,G,100,D
20202,04312742,17,2,1,,A,33,G,110,D
20202,04312742,17,3,1,,A,48,G,150,D
20202,04314142,53,0,1,5,D,,H,,A
20202,04314142,53,1,1,,A,45,E,100,D
20202,04314142,53,2,1,,A,15,E,110,D
20202,04315372,44,0,1,2,D,,H,,A
20202,04315372,44,1,1,,A,46,E,100,D
20202,04315372,44,2,1,,A,14,E,110,D
20202,04315432,67,0,1,3,D,,H,,A
20202,04315432,67,1,1,,A,14,E,210,D
20202,04315432,67,2,1,,A,16,E,220,D
20202,04315892,47,0,1,3,D,,H,,A
20202,04315892,47,1,1,,A,324,E,100,D
20202,04315892,47,2,1,,A,106,E,110,D
20202,04315892,47,3,1,,A,65,E,120,D
20202,04315892,47,4,1,,A,455,E,130,D
20202,04315892,47,5,1,,A,28,E,140,D
20202,04315892,47,6,1,,A,529,E,150,D
20202,04315892,47,7,1,,A,5,E,170,D
20202,04315892,47,8,1,,A,192,E,190,D
20202,04316484,33,0,1,1,D,,H,,A
20202,04316484,33,1,1,,A,73,E,100,D
20202,04316484,33,2,1,,A,15,E,110,D
20202,04316484,33,3,1,,A,110,E,210,D
20202,04316822,53,0,1,1,D,,H,,A
20202,04316822,53,1,1,,A,164,E,100,D
20202,04316822,53,2,1,,A,55,E,110,D
20202,04316822,53,3,1,,A,231,E,130,D
20202,04316892,43,0,1,2,D,,H,,A
20202,04316892,43,1,1,,A,109,E,100,D
20202,04316892,43,2,1,,A,37,E,110,D
20202,04316892,43,3,1,,A,54,E,210,D
20202,04318832,34,0,1,1,D,,H,,A
20202,04318832,34,1,1,,A,42,E,100,D
20202,04318832,34,2,1,,A,8,E,110,D
20202,04319602,60,0,1,3,D,,H,,A
20202,04319602,60,1,1,,A,218,E,100,D
20202,04319602,60,2,1,,A,73,E,110,D
20202,04319602,60,3,1,,A,109,E,210,D
20202,04320992,32,0,1,2,D,,H,,A
20202,04320992,32,1,1,,A,80,E,100,D
20202,04320992,32,2,1,,A,24,E,110,D
20202,04320992,32,3,1,,A,15,E,120,D
20202,04320992,32,4,1,,A,106,E,130,D
20202,04320992,32,5,1,,A,5,E,140,D
20202,04320992,32,6,1,,A,124,E,150,D
20202,04320992,32,7,1,,A,1,E,170,D
20202,04320992,32,8,1,,A,45,E,190,D
20202,04321672,49,0,1,1,D,,H,,A
20202,04321672,49,1,1,,A,99,E,100,D
20202,04321672,49,2,1,,A,51,E,110,D
20202,04323912,39,0,1,1,D,,H,,A
20202,04323912,39,1,1,,A,2,E,100,D
20202,04323912,39,2,1,,A,2,E,110,D
20202,04327642,39,0,1,1,D,,H,,A
20202,04327642,39,1,1,,A,217,E,100,D
20202,04327642,39,2,1,,A,70,E,110,D
20202,04327642,39,3,1,,A,303,E,130,D
20202,04344152,33,0,1,1,D,,H,,A
20202,04344152,33,1,1,,A,127,E,210,D
20202,04344152,33,2,1,,A,23,E,220,D
20202,04346382,24,0,1,1,D,,H,,A
20202,04346382,24,1,1,,A,40,E,100,D
20202,04346382,24,2,1,,A,8,E,110,D
20202,04346382,24,3,1,,A,10,E,120,D
20202,04346382,24,4,1,,A,44,E,130,D
20202,04346382,24,5,1,,A,6,E,140,D
20202,04346382,24,6,1,,A,63,E,150,D
20202,04346382,24,7,1,,A,29,E,190,D
20202,04346794,25,0,1,1,D,,H,,A
20202,04346794,25,1,1,,A,41,E,100,D
20202,04346794,25,2,1,,A,9,E,110,D
20202,04351292,50,0,1,1,D,,H,,A
20202,04351292,50,1,1,,A,10,E,100,D
20202,04351292,50,2,1,,A,2,E,110,D
20202,04351292,50,3,1,,A,2,E,120,D
20202,04351292,50,4,1,,A,9,E,150,D
20202,04351292,50,5,1,,A,7,E,190,D
20202,04381403,27,0,1,2,D,,H,,A
20202,04381403,27,1,1,,A,25,E,100,D
20202,04381403,27,2,1,,A,11,E,110,D
20202,04381403,27,3,1,,A,12,E,120,D
20202,04381403,27,4,1,,A,137,E,150,D
20202,04381403,27,5,1,,A,26,E,180,D
20202,04381403,27,6,1,,A,19,E,190,D
20202,04382191,38,0,1,1,D,,H,,A
20202,04382191,38,1,1,,A,42,E,100,D
20202,04382191,38,2,1,,A,24,E,110,D
20202,04382191,38,3,1,,A,9,E,120,D
20202,04382191,38,4,1,,A,44,E,130,D
20202,04382191,38,5,1,,A,121,E,150,D
20202,04382191,38,6,1,,A,35,E,190,D
20202,04382301,28,0,1,1,D,,H,,A
20202,04382301,28,1,1,,A,75,E,100,D
20202,04382301,28,2,1,,A,25,E,110,D
20202,04382651,25,0,1,2,D,,H,,A
20202,04382651,25,1,1,,A,68,E,100,D
20202,04382651,25,2,1,,A,22,E,110,D
20202,04384771,30,0,1,3,D,,H,,A
20202,04384771,30,1,1,,A,226,E,100,D
20202,04384771,30,2,1,,A,74,E,110,D
20202,04385463,21,0,1,2,D,,H,,A
20202,04385463,21,1,1,,A,5,E,100,D
20202,04385463,21,2,1,,A,2,E,110,D
20202,04385463,21,3,1,,A,2,E,120,D
20202,04385463,21,4,1,,A,32,E,150,D
20202,04385463,21,5,1,,A,5,E,180,D
20202,04385463,21,6,1,,A,4,E,190,D
20202,04385991,26,0,1,1,D,,H,,A
