QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,EDUC_AY,EDUC_AY_,EDUCGFTC,EDUC_FTC,EDSCHL_A,EDSC_L_A,EDMONTHA,EDMO_THA,EDREIMBX,EDRE_MBX,JEDUCNET,JEDU_NET,EDUC_A1,EDUC_A1_,EDUC_A2,EDUC_A2_,EDUC_A3,EDUC_A3_,EDUC_A4,EDUC_A4_,EDUC_A5,EDUC_A5_,EDUC_A6,EDUC_A6_,EDUC_A7,EDUC_A7_,EDUC_A8,EDUC_A8_,EDUC_A9,EDUC_A9_
20202,04219884,2,0,2,350,D,1,D,1,D,01,D,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219924,8,0,1,100,D,1,D,,A,01,D,,A,275,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219974,3,0,1,360,D,1,D,1,D,02,D,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219974,4,0,1,360,D,1,D,1,D,03,D,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219974,5,0,1,350,D,1,D,1,D,01,D,,A,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04219974,6,0,2,300,D,1,D,1,D,01,D,,A,102,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220034,7,0,2,300,D,1,D,1,D,01,D,,A,3800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220234,11,0,1,100,D,1,D,,A,03,D,,A,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220234,12,0,1,100,D,1,D,,A,13,D,,A,177,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220234,13,0,2,300,D,1,D,1,D,01,D,,A,7000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220314,3,0,1,360,D,1,D,1,D,01,D,,A,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220614,3,0,1,200,D,1,D,,A,13,D,,A,298,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220664,3,0,1,100,D,1,D,,A,13,D,,A,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220664,4,0,1,200,D,1,D,,A,13,D,,A,690,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220764,10,0,1,200,D,1,D,,A,13,D,,A,2320,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220764,11,0,1,200,D,1,D,,A,13,D,,A,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220764,12,0,1,350,D,1,D,3,D,03,D,,A,32,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
